"agencyabbrev","overagency","overlevel","optype"
"NYCDCP","NYC Department of City Planning","City","Public"
"NYCDCAS","NYC Department of Citywide Administrative Services","City","Public"
"NYCDCA","NYC Department of Consumer Affairs","City","Public"
"NYCDOC","NYC Department of Correction","City","Public"
"NYCDCLA","NYC Department of Cultural Affairs","City","Public"
"NYCDDC","NYC Department of Design and Construction","City","Public"
"NYCDOE","NYC Department of Education","City","Public"
"NYCDEP","NYC Department of Environmental Protection","City","Public"
"NYCDOF","NYC Department of Finance","City","Public"
"NYCDOHMH","NYC Department of Health and Mental Hygiene","City","Public"
"NYCDHS","NYC Department of Homeless Services","City","Public"
"NYCHPD","NYC Department of Housing Preservation and Development","City","Public"
"NYCDOITT","NYC Department of Information Technology and Telecommunications","City","Public"
"NYCDOI","NYC Department of Investigation","City","Public"
"NYCDPR","NYC Department of Parks and Recreation","City","Public"
"NYCDOP","NYC Department of Probation","City","Public"
"NYCDORIS","NYC Department of Records and Information Services","City","Public"
"NYCDSNY","NYC Department of Sanitation","City","Public"
"NYCDSS","NYC Department of Social Services","City","Public"
"NYCSBS","NYC Department of Small Business Services","City","Public"
"NYCDOT","NYC Department of Transportation","City","Public"
"NYCDYCD","NYC Department of Youth and Community Development","City","Public"
"NYCDA-BX","NYC District Attorney - Bronx ","City","Public"
"NYCDA-BK","NYC District Attorney - Brooklyn","City","Public"
"NYCDA-MN","NYC District Attorney - Manhattan","City","Public"
"NYCDA-SNP","NYC District Attorney - Office Special Narcotics","City","Public"
"NYCDA-QN","NYC District Attorney - Queens","City","Public"
"NYCDA-SI","NYC District Attorney - Staten Island","City","Public"
"NYCEDC","NYC Economic Development Corporation","City","Public"
"FDNY","NYC Fire Department","City","Public"
"NYCHHC","NYC Health and Hospitals Corporation","City","Public"
"NYCHA","NYC Housing Authority","City","Public"
"NYCHRA","NYC Human Resources Administration","City","Public"
"NYCIBO","NYC Independent Budget Office","City","Public"
"NYCLPC","NYC Landmarks Preservation Commission","City","Public"
"NYCLAW","NYC Law Department","City","Public"
"NYCCB101","NYC Manhattan Community Board 1","City","Public"
"NYCCB102","NYC Manhattan Community Board 2","City","Public"
"NYCCB103","NYC Manhattan Community Board 3","City","Public"
"NYCCB104","NYC Manhattan Community Board 4","City","Public"
"NYCCB105","NYC Manhattan Community Board 5","City","Public"
"NYCCB106","NYC Manhattan Community Board 6","City","Public"
"NYCCB107","NYC Manhattan Community Board 7","City","Public"
"NYCCB108","NYC Manhattan Community Board 8","City","Public"
"NYCCB109","NYC Manhattan Community Board 9","City","Public"
"NYCCB110","NYC Manhattan Community Board 10","City","Public"
"NYCCB111","NYC Manhattan Community Board 11","City","Public"
"NYCCB112","NYC Manhattan Community Board 12","City","Public"
"NYCOATH","NYC Office of Administrative Trials and Hearings","City","Public"
"NYCOCB","NYC Office of Collective Bargaining","City","Public"
"NYCEM","NYC Office of Emergency Management","City","Public"
"NYCOLR","NYC Office of Labor Relations","City","Public"
"NYCOMB","NYC Office of Management and Budget","City","Public"
"NYCOPA","NYC Office of Payroll Administration","City","Public"
"NYCPA","NYC Office of Public Advocate","City","Public"
"NYCOA","NYC Office of the Actuary","City","Public"
"NYCACT","NYC Office of the Actuary","City","Public"
"NYCCLERK","NYC Office of the City Clerk","City","Public"
"NYCCOMP","NYC Office of the Comptroller","City","Public"
"NYCOOM","NYC Office of the Mayor","City","Public"
"NYCMO","NYC Office of the Mayor","City","Public"
"NYCMOCJ","NYC Mayor's Office of Criminal Justice","City","Public"
"NYCOCME","NYC Office of the Medical Examiner","City","Public"
"NYCOCA","NYC Office of Court Administration","City","Public"
"NYPD","NYC Police Department","City","Public"
"NYCPA-BX","NYC Public Administrators Office - Bronx","City","Public"
"NYCPA-BK","NYC Public Administrators Office - Brooklyn","City","Public"
"NYCPA-MN","NYC Public Administrators Office - Manhattan","City","Public"
"NYCPA-QN","NYC Public Administrators Office - Queens","City","Public"
"NYCPA-SI","NYC Public Administrators Office - Staten Island","City","Public"
"NYCCB402","NYC Queens Community Board 2","City","Public"
"NYCCB403","NYC Queens Community Board 3","City","Public"
"NYCCB404","NYC Queens Community Board 4","City","Public"
"NYCCB405","NYC Queens Community Board 5","City","Public"
"NYCCB406","NYC Queens Community Board 6","City","Public"
"NYCCB407","NYC Queens Community Board 7","City","Public"
"NYCCB408","NYC Queens Community Board 8","City","Public"
"NYCCB409","NYC Queens Community Board 9","City","Public"
"NYCCB410","NYC Queens Community Board 10","City","Public"
"NYCCB411","NYC Queens Community Board 11","City","Public"
"NYCCB412","NYC Queens Community Board 12","City","Public"
"NYCCB413","NYC Queens Community Board 13","City","Public"
"NYCCB414","NYC Queens Community Board 14","City","Public"
"NYCSCA","NYC School Construction Authority","City","Public"
"NYCCB501","NYC Staten Island Community Board 1","City","Public"
"NYCCB502","NYC Staten Island Community Board 2","City","Public"
"NYCCB503","NYC Staten Island Community Board 3","City","Public"
"NYCTAXCM","NYC Tax Commission","City","Public"
"NYCTLC","NYC Taxi and Limousine Commission","City","Public"
"NYCUDC","NYC Urban Development Corporation","City","Public"
"NYSDOCCS","NYS Department of Corrections and Community Supervision","State","Public"
"NYSDEC","NYS Department of Environmental Conservation","State","Public"
"NYSDOH","NYS Department of Health","State","Public"
"NYSDOT","NYS Department of Transportation","State","Public"
"NYSOPWDD","NYS Office for People With Developmental Disabilities","State",
"NYSOASAS","NYS Office of Addiction Services and Supports","State",
"NYSOCA","NYS Office of Court Administration","State","Public"
"NYSOMH","NYS Office of Mental Health","State","Public"
"NYCOURTS","NYS Unified Court System","State","Public"
"PANYNJ","Port Authority of New York and New Jersey","State","Public"
"QPL","Queens Public Library","City","Public"
"RIOC","Roosevelt Island Operating Corporation","City","Public"
"NYSOPRHP","The New York State Office of Parks, Recreation and Historic Preservation","State",
"TGI","Trust for Governors Island",,"Public"
"USCOURTS","US Courts","Federal",
"USDOT","US Department of Transportation","Federal",
"NYC-Unknown","NYC-Unknown",,"Public"
"SUNY",,,"Public"
"NYCRGB",,"City","Public"
"Public",,,"Public"
"CNTYC","County Clerk","County","Public"
"Charter",,,"Non-public"
"Unknown",,,"Non-public"
