uid,field,old_value,new_value,editor,date,notes
,PARCELNAME,EAST 173RD ST.-VYSE AVENUE,EAST 173RD STREET - VYSE AVENUE,,,
,PARCELNAME,FD ROOSEVELT BOARDWALD AND BEACH,FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,,,
,PARCELNAME,IND 8TH AVENUE ROW AND VENT,IND 8TH AVENUE RIGHT OF WAY AND VENT,,,
,SNAME,EAST    1 O STREET,E 10 STREET,,,
,PARCELNAME,L.U.W. BUTTRICK AVENUE,LAND UNDER WATER BUTTRICK AVENUE,,,
,PARCELNAME,CITIZENS FOR A BETTER COMM PARK,CITIZENS FOR A BETTER COMMUNITY PARK,,,
,PARCELNAME,DOS BRONX 1 3 AND 4 GARAGES,"SANITATION BRONX, 1 3 AND 4 GARAGES",,,
,PARCELNAME,F. H. LAGUARDIA HOUSES ADD AND SC,F. H. LAGUARDIA HOUSES ADDITION AND SENIOR CENTER,,,
,PARCELNAME,KISSENA CORRIDOR PK/QUEENS BOT GD,KISSENA CORRIDOR PARK/QUEENS BOTANICAL GARDEN,,,
,PARCELNAME,ABRAHAM LINCOLN HS AND ATHLETIC,ABRAHAM LINCOLN HIGH SCHOOL AND ATHLETIC FIELD,,,
,PARCELNAME,REID HOUSES/CHRSTPHR BLENMAN SC,WILLIAM REID APARTMENTS AND CHRISTOPHER C BLENMAN SENIOR CENTER,,,
,PARCELNAME,ENG76 LAD22 BAT11/NYPD 24 PRECINCT,ENGINE 76 LADDER 22 BATTALION 11 AND NYPD 24TH PRECINCT STATION HOUSE,,,
,PARCELNAME,VAN DYKE HOUSES I AND II PLAYGROUND SC,VAN DYKE HOUSES I AND II PLAYGROUND AND SENIOR CENTER,,,
,PARCELNAME,P.D. 110TH PRECINCT STATION HOUSE,NYPD 110TH PRECINCT STATION HOUSE,,,
,PARCELNAME,HS FOR LAW ENF. AND PUB. SAFETY,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,,,
,PARCELNAME,T.ROOSEVELT PARK AND MUS NAT HIS,THEODORE ROOSEVELT PARK AND MUSEUM OF NATURAL HISTORY,,,
,PARCELNAME,CHINATOWN PC DCC AND  OPEN DOOR SR,Chinese-American Planning Council Daycare Center and Open Door Senior Center,,,
,SNAME,2 O AVENUE,20 AVENUE,,,
,PARCELNAME,VERNON T AND T BLOCK ASSOC.GARDEN,T AND T VERNON BLOCK ASSOCIATION GARDEN,,,
,PARCELNAME,NYPD 50TH PCT.EMS ST.50,NYPD 50TH PRECINCT STATION HOUSE AND EMS STATION 50,,,
,PARCELNAME,OFF STREET PARKING FOR 75PRECINCT,OFF STREET PARKING FOR 75 PRECINCT,,,
,PARCELNAME,NEW DORP HS AND AF,NEW DORP HIGH SCHOOL AND ATHELETIC FIELD,,,
,PARCELNAME,PAUL ROBESON HS OF BUS AND TECH,PAUL ROBESON HIGH SCHOOL OF BUSINESS AND TECHNOLOGY,,,
,PARCELNAME,LOUIS D. BRANDEIS HS AND PLG,LOUIS D. BRANDEIS HIGH SCHOOL,,,
,SNAME,FREDERICK DOUGLASS BOULE,FREDERICK DOUGLASS BOULEVARD,,,
,PARCELNAME,QUEENS EMPLOYMENT ELIGIBILITY CTR,QUEENS EMPLOYMENT ELIGIBILITY CENTER,,,
,PARCELNAME,GLENMORE HENDRIX BL ASSOC GARDEN,GLENMORE HENDRIX BLOCK ASSOCIATION GARDEN,,,
,PARCELNAME,BMT ROW AND LIRR BAYRIDGE ROW,BMT ROW AND LIRR BAYRIDGE RIGHT OF WAY,,,
,PARCELNAME,ANIBAL ARILES PLAYGROUND AND JHS 54,ANIBAL AVILES PLAYGROUND AND JUNIOR HIGH SCHOOL 54,,,
,PARCELNAME,P.D. 113TH PRECINCT STATION HOUSE,NYPD 113TH PRECINCT STATION HOUSE,,,
,PARCELNAME,BRONX RIVER HOUSES/NEIGHBORHD SC,BRONX RIVER HOUSES/NEIGHBORHOOD SENIOR CENTER,,,
,PARCELNAME,GRANT HOUSES AND J ROBINSON SC,GRANT HOUSES AND J ROBINSON SENIOR CENTER,,,
,PARCELNAME,COL. DAVID MARCUS MEM PLAYGROUND,COLONEL DAVID MARCUS MEMORIAL PLAYGROUND,,,
,PARCELNAME,66TH POLICE PRECINCT STATION HOUSE,NEW UTRECHT AVE STATION AND TRANSIT RIGHT OF WAY,,,
,PARCELNAME,BUSHWICK.2 (GROUPS B AND D),BUSHWICK II (GROUPS B AND D),,,
,PARCELNAME,W. BRIGHTON I AND II HOUSES & SC,WEST BRIGHTON I AND II HOUSES AND SENIOR CENTER,,,
,PARCELNAME,RICHMOND TERR.HOUSES AND SENIOR CENTER,RICHMOND TERRACE HOUSES AND SENIOR CENTER,,,
,PARCELNAME,LOUIS H. PINK HOUSES AND SENR CR,LOUIS H. PINK HOUSES AND SENIOR CENTER,,,
,PARCELNAME,TOTTENVILLE HS AND AF,TOTTENVILLE HIGH SCHOOL AND ATHLETIC FIELD,,,
,PARCELNAME,PS 18 PLAYGROUND PARK.(JOP),PS 18 PLAYGROUND AND PARK (JOINT OPERATED PLAYGROUND),,,
,SNAME,AVENUE B & EAST   93 STREET,AVENUE B,,,
,PARCELNAME,BERGEN ST DEPOT AND SHOPS,BERGEN STREET DEPOT AND SHOPS,,,
,PARCELNAME,FD ROOSEVELT BROADWALK AND BEACH,FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,,,
,PARCELNAME,PS 155 AND PLAYGROUND.(JOP),PS 155 AND PLAYGROUND (JOINT OPERATED PLAYGROUND),,,
,PARCELNAME,PIERS 1 2 AND 3,"PIERS 1, 2 AND 3",,,
,PARCELNAME,HS OF TEACHING  LIB ARTS AND SCI,"HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",,,
,SNAME,AVENUE P WEST    1 STREET,AVENUE P,,,
,PARCELNAME,ENG 46  LAD 27  48 PRECINCT,ENGINE 46  LADDER 27 AND NYPD 48TH PRECINCT STATION HOUSE,,,
,PARCELNAME,ROY WILKINS-SOUTHERN QUEENS PARK,ROY WILKINS SOUTHERN QUEENS PARK,,,
,PARCELNAME,RECREATION CTR 54/GYM AND POOL,RECREATION CENTER 54/GYM AND POOL,,,
,PARCELNAME,SPRINGFIELD GARDEN HS AND AF,SPRINGFIELD GARDEN HIGH SCHOOL AND ATHLETIC FIELD,,,
,PARCELNAME,DAVIDSON AVENUE COMM CTR-STL TNT,DAVIDSON AVENUE COMMUNITY CENTER,,,
,PARCELNAME,JJ BYRNE MEM PARK,JJ BYRNE MEMORIAL PARK,,,
,PARCELNAME,DAVIDSON AVENUE COMM PLAYGROUND,DAVIDSON AVENUE COMMUNITY  PLAYGROUND,,,
,PARCELNAME,L.U.W UPLAND AND MARGINAL STREET,LAND UNDER WATER UPLAND AND MARGINAL STREET,,,
,PARCELNAME,BMT NEWKIRK PLAZA STATION R.O.W,BMT NEWKIRK PLAZA STATION RIGHT OF WAY,,,
,PARCELNAME,MANHATTAN CTR FOR MATH AND SCIENCE HS,MANHATTAN CENTER FOR MATH AND SCIENCE HIGH SCHOOL,,,
,PARCELNAME,JEROME AVENUE IRT YDS,JEROME AVENUE IRT YARDS,,,
,PARCELNAME,IRT B'WAY AND W. 143 ST. SUBSTATION,BROADWAY AND W. 143 ST. SUBSTATION,,,
,PARCELNAME,B. BUTLER HOUSES/WM HODSON SC,B. BUTLER HOUSES/WM HODSON SENIOR CENTER,,,
,PARCELNAME,SAMUEL J. TILDEN HOUSES AND SC,SAMUEL J. TILDEN HOUSES AND SENIOR CENTER,,,
,PARCELNAME,BROOKLYN EAST PROPERTY PRPTY MGMT,BROOKLYN EAST PROPERTY MANAGEMENT,,,
,PARCELNAME,BWSO STATEN ISLAND REPAIR YD/BLUBLT OFC,BWSO STATEN ISLAND REPAIR YARD/BLUE BELT OFFICE,,,
,PARCELNAME,L.U.W 138-141ST ST AND E. RIVER,LAND UNDER WATER 138-141ST ST AND E. RIVER,,,
,PARCELNAME,QUEENS. MIDTOWN EXPWY/PARK STRIP,QUEENS MIDTOWN EXPRESSWAY/PARK STRIP,,,
,PARCELNAME,NEW UTRECHT STA.HOUSE 15TH AVENUE,NEW UTRECHT STATION HOUSE/ 62 STREET,,,
,PARCELNAME,STERLING REHAB (STERL-BUFFLO),STERLING REHAB (STERLING-BUFFALO),,,
,PARCELNAME,STERLING REHAB (ST JOHNS-STRLNG,STERLING REHAB (ST JOHNS-STERLING),,,
,PARCELNAME,PS 213 AND PLAYGROUND MINI-SCH PLYGD,PS 213 AND PLAYGROUND MINI-SCHOOL PLAYGROUND,,,
,PARCELNAME,BUSHWICK HS AND PLAYGROUND(JOP),BUSHWICK HIGH SCHOOL AND PLAYGROUND (JOINT OPERATED PLAYGROUND),,,
,PARCELNAME,REV MATTHEW J CROSSON MEM PARK,REVEREND MATTHEW J CROSSON MEMORIAL PARK,,,
,PARCELNAME,S BRONX MARINE TRANSFER STN/SALT,SOUTH BRONX MARINE TRANSFER STATION/SALT,,,
,PARCELNAME,H. LEHMAN HS-PLAYGROUND ATHLETIC FIELD,HERBET H. LEHMAN HIGH SCHOOL- PLAYGROUND/ATHLETIC FIELD,,,
,PARCELNAME,BET. E 37TH AND E 38TH STS,BETWEEN E 37TH AND E 38TH STREETS,,,
,PARCELNAME,CHRIS COLUMBUS HS AND ATHLETIC FIELD,CHRISTOPHER COLUMBUS HIGH SCHOOL AND ATHLETIC FIELD,,,
,PARCELNAME,CONWAY ST STORAGE AND PRKNG FAC,CONWAY STREET STORAGE AND PARKING FACILITY,,,
,SNAME,FLATBUSH AVENUE EXTENSIO,FLATBUSH AVENUE EXTENSION,,,
,PARCELNAME,GW PLAYGROUND CHERRY TREE PARK,GEORGE WASHINGTON PLAYGROUND CHERRY TREE PARK,,,
,PARCELNAME,HS GRAPHIC COMM ARTS AND PARK,HIGH SCHOOL GRAPHIC COMMUNICATION ARTS AND PARK,,,
,PARCELNAME,BMT SEA BEACH LINE STATION R.O.W,BMT SEA BEACH LINE STATION RIGHT OF WAY,,,
,PARCELNAME,ENY VOC AND TECH H.S,EAST NEW YORK VOCATIONAL AND TECHNICAL  HIGH SCHOOL,,,
,PARCELNAME,MARINERS HARBOR HOUSES.PLAYGROUND,MARINERS HARBOR HOUSES PLAYGROUND,,,
,PARCELNAME,CTRAL REPAIR SHOP AND DISTR GRGS,CENTRAL REPAIR SHOP AND DISTRICT GARAGES,,,
,PARCELNAME,P.D. 106TH PRECINCT STATION HOUSE,NYPD 106TH PRECINCT STATION HOUSE,,,
,PARCELNAME,COMM EUGENE S SARSFIELS PLAYGROUND,COMMANDER EUGENE S. SARSFIELD PLAYGROUND,,,
,PARCELNAME,BWSO BROOKLYN SOUTH WTR/SWR REPAIR,BWSO BROOKLYN SOUTH WATER/SEWER REPAIR,,,
,PARCELNAME,FORMER J.KURTZ  AND SONS STORE BLD,FORMER J.KURTZ  AND SONS STORE BUILDING,,,
,PARCELNAME,ESPLANADE AND PEDESTRIAN EASEMTS,ESPLANADE AND PEDESTRIAN EASEMENTS,,,
,SNAME,VAN SICKLEN AVENUE,VAN SICLEN AVENUE,,,
,PARCELNAME,CASSIDY-LAFAYTE HOUSES AND  COLES SC,CASSIDY-LAFAYETTE HOUSES AND COLES SENIOR CENTER,,,
,PARCELNAME,HORIZON JUVJ CTR/NYPD 40TH PRECINCT,HORIZON JUVENILE JUSTICE CENTER/NYPD 40TH PRECINCT STATION,,,
,PARCELNAME,ASSER LEVY RECREATION CTR AND PARK,ASSER LEVY RECREATION CENTER AND PARK,,,
,PARCELNAME,DR BETANCES 2 AND 3 HOUSES,"BETANCES II, 9A AND III, 9A HOUSES",,,
,PARCELNAME,NYPD104TH PRECINCT,NYPD 104TH PRECINCT STATION HOUSE,,,
,PARCELNAME,PS 219 AND PLYGROUND,PS 219 KENNEDY KING ELEMENTARY SCHOOL AND PLAYGROUND,,,
,PARCELNAME,P.D. 76TH PRECINCT STATION HOUSE,NYPD 76TH PRECINCT STATION HOUSE,,,
,PARCELNAME,EAST 180TH ST-MONTEREY AVENUE,EAST 180TH ST - MONTEREY AVENUE,,,
,PARCELNAME,CRYSTATION WELLS BL ASSOC GARDEN,CRYSTAL WELLS BLOCK ASSOCIATION GARDEN,,,
,PARCELNAME,IRT ROW - #4 AND STATION,IRT RIGHT OF WAY - #4 AND STATION,,,
,PARCELNAME,STERLING REHAB (STERLIN-BUFFALO,STERLING REHAB (ST JOHNS-STERLING),,,
,PARCELNAME,BMT ELEVATED STATION AND ROW/,BMT ELEVATED STATION AND RIGHT OF WAY,,,
,PARCELNAME,IND PROSPECT PKWY AND CONEY IS,IND PROSPECT PARKWAY AND CONEY ISLAND,,,
,PARCELNAME,DAVIDSON AVENUE COMM. GARDENERS,DAVIDSON AVENUE COMMUNITY GARDENERS,,,
,SNAME,EAST NORTH Y AVENUE,EAST NEW YORK AVENUE,,,
,PARCELNAME,"IND 10  ST. SUBSTATION ""F"" R.O.W","IND 10TH STREET SUBSTATION ""F"" RIGHT OF WAY",,,
,PARCELNAME,QUEENSBRIDGE SO.HOUSES AND PARKS,QUEENSBRIDGE SOUTH HOUSES AND PARKS,,,
,PARCELNAME,ASTORIA HTS REC PARK AND JHS10 PLAYGROUND,ASTORIA HEIGHTS PARK AND JHS 10 JOINT OPERATED PLAYGROUND,,,
,PARCELNAME,34TH PRECINCT STATION HOUSE,NYPD 34TH PRECINCT STATION HOUSE,,,
,PARCELNAME,ANDREW JACKSON HOUSES AND SEN CTR,ANDREW JACKSON HOUSES AND SENIOR CENTER,,,
,PARCELNAME,PARKING FOR 75PRECINCT PERSONNEL,OUTDOOR PARKING FOR 75 PRECINCT PERSONNEL,,,
,PARCELNAME,HANSBOROUGH REC CENTER AND POOL,HANSBOROUGH RECREATION CENTER AND POOL,,,
,PARCELNAME,HIGHBRIDGE REHAB (ANDERSON AVENUE,HIGHBRIDGE REHAB (ANDERSON AVENUE),,,
,PARCELNAME,SAILOR'S SNUG HARBOR PARK ADDTN,SAILOR'S SNUG HARBOR PARK ADDITION,,,
,PARCELNAME,PS 109 AND PLAYGROUND/MINI SCHL,PS 109 AND PLAYGROUND/MINI SCHOOL,,,
,PARCELNAME,HAMILTON AVENUE TRANFER STATION,HAMILTON AVENUE TRANSFER STATION,,,
,PARCELNAME,QUEENSBRIDGE EARLY CHLDHD DEV CTR,QUEENSBRIDGE EARLY CHILDHOOD DEVELOPMENT CENTER,,,
,PARCELNAME,NEW 123RD ST. BLOCK ASSOC. GARDEN,NEW 123RD ST. BLOCK ASSOCIATION GARDEN,,,
,PARCELNAME,DAVID N. DINKINS MANHATTAN MUNI BLDG,DAVID N. DINKINS MANHATTAN MUNICIPAL BUILDING,,,
,PARCELNAME,DR BETANCES  2 AND 3,"BETANCES II, 13 AND BETANCES III, 13",,,
,PARCELNAME,INTRSECTION 19TH AVENUE AND 19TH RD,INTERSECTION 19TH AVENUE AND 19TH ROAD,,,
,PARCELNAME,STATEN ISLAND BWSO WATER MAINT YARD,STATEN ISLAND BWSO WATER MAINTENANCE YARD,,,
,PARCELNAME,BWSO WATER SEWER AND REPAIR FAC,BWSO WATER SEWER AND REPAIR FACILITY,,,
,PARCELNAME,IRT DYRE AVENUE KUBE R.O.W,IRT DYRE AVENUE TUBE RIGHT OF WAY,,,
,PARCELNAME,IRT DRYRE AVENUE LINE R.O.W,IRT DRYE AVENUE LINE RIGHT OF WAY,,,
,PARCELNAME,ACCESS-JEROME PARK BLOWOFF CHMBR,ACCESS-JEROME PARK BLOWOFF CHAMBER,,,
,PARCELNAME,SHEEPSD BAY HS AND ATHL FLD (JOP,SHEEPSHEAD BAY HS AND ATHLETIC FIELD (JOINT OPERATED PLAYGROUND),,,
,PARCELNAME,PS 214 AND PLYGROUND,PS 214 AND PLAYGROUND,,,
,PARCELNAME,DR BETANCES 4 AND 5 HOUSES,BETANCES IV AND V HOUSES,,,
,PARCELNAME,E N Y VOCATIONAL HS PLAYGROUND,EAST NEW YORK VOCATIONAL HIGH SCHOOL AND PLAYGROUND,,,
,PARCELNAME,FORMERLY PIERS 19  20 AND 21,"FORMERLY PIERS 19, 20 AND 21",,,
,PARCELNAME,OFF STREET PARKING FOR 32PRECINCT,OFF STREET PARKING FOR 32 PRECINCT,,,
,PARCELNAME,OLD 83PRECINCT OFF STREET PARKING,OLD 83 PRECINCT OFF STREET PARKING,,,
,PARCELNAME,BROOKLYN FLD OFF/SVU CHILD ABUSE SQD,BROOKLYN FIELD OFFICE/SVU CHILD ABUSE SQUAD,,,
,PARCELNAME,VERNON T AND T BLOCK ASSOC GARDEN,T AND T VERNON BLOCK ASSOCIATION GARDEN,,,
,PARCELNAME,PLAYGROUND A STEVNSON HS/SE BRONX HS,ADLAI E. STEVENSON EDUCATIONAL CAMPUS,,,
,PARCELNAME,BWSO QUEENS WTR/SWR REPAIR YARD,BWSO QUEENS WATER/SEWER REPAIR YARD,,,
,PARCELNAME,PS 189 AND PS 189 MINI SCHL&PLAYGROUND,PS 189 BILINGUAL CENTER,,,
,PARCELNAME,HUNTER COLLEGE ELEM AND HS,HUNTER COLLEGE ELEMENTARY AND HIGH SCHOOL,,,
,PARCELNAME,COL DAVID MARCUS MEM. PLAYGROUND,COLONEL DAVID MARCUS MEMORIAL PLAYGROUND,,,
,SNAME,FOREST STREET,FORREST STREET,,,
,PARCELNAME,FUT GATEWAY PK/ATLANTIC AVENUE EXT,GATEWAY PARK/ATLANTIC AVENUE EXTENSION,,,
,PARCELNAME,BROOKLYN BRIDGE APP/VAULTED SPACE,BROOKLYN BRIDGE APPROACH/VAULTED SPACE,,,
,PARCELNAME,L.U.W.EAST RIVER BUTTRICK AVENUE,LAND UNDER WATER EAST RIVER BUTTRICK AVENUE,,,
,PARCELNAME,HINSDALE YARD BROOKLYN WMS SHLTR,HINSDALE YARD BROOKLYN WOMEN'S SHELTER,,,
,PARCELNAME,PS 51 A/K/A BRONX NEW SCL (X781),PS 51 A/K/A BRONX NEW SCHOOL (X781),,,
,PARCELNAME,HIGH SCHOOL OF HEALTH AND HUMAN,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,,,
,PARCELNAME,EDGEMERE URA SITE #86 AND #87,EDGEMERE URBAN RENEWAL AREA SITE #86 AND #87,,,
,PARCELNAME,SUTTER AVENUE - UNIONS ST,SUTTER AVENUE - UNION ST,,,
,PARCELNAME,ENG.248  67 PRECINCT,"FDNY ENGINE 248, BATTALION 41 AND NYPD 67TH PRECINCT STATION HOUSE",,,
,PARCELNAME,P.D. 109TH PRECINCT STATION HOUSE,NYPD 109TH PRECINCT STATION HOUSE,,,
,PARCELNAME,L.U.W. BET E.30 AND 34 STREETS,LAND UNDER WATER BETWEEN E.30 AND 34 STREETS,,,
,PARCELNAME,QUEENS NO BORO REPAIR SHOP,QUEENS NORTH BORUGH REPAIR SHOP,,,
,PARCELNAME,STERLING REHAB (STJOHNS-STERLIN,STERLING REHAB (ST JOHNS-STERLING),,,
,PARCELNAME,L.U.W. ROBINSON AVENUE,LAND UNDER WATER ROBINSON AVENUE,,,
,PARCELNAME,PS 256  AND PLAYGROUND.(JOP),PS 256  AND PLAYGROUND (JOINT OPERATED PLAYGROUND),,,
,PARCELNAME,EAST 165TH.ST.BRYANT AVENUE,EAST 165TH STREET - BRYANT AVENUE,,,
,PARCELNAME,FIELD OFFICE-MANHATTAN FAMILY CT DIVN,FIELD OFFICE-MANHATTAN FAMILY COURT DIVISION,,,
,PARCELNAME,EAST 180TH ST.- MONTEREY AVENUE,EAST 180TH ST - MONTEREY AVENUE,,,
,PARCELNAME,L.U.W. HARLEM  AND HUDSON RIVERS,LAND UNDER WATER HARLEM  AND HUDSON RIVERS,,,
,PARCELNAME,QUEENS MIDTOWN EXPWY/PARK STRIP,QUEENS MIDTOWN EXPRESSWAY/PARK STRIP,,,
,PARCELNAME,CLEMENT CLARKE MOORE HMSTED PARK,CLEMENT CLARKE MOORE HOMESTEAD PARK,,,
,PARCELNAME,STERLING REHAB (STERL-BUFFALO),STERLING REHAB (STERLING-BUFFALO),,,
,PARCELNAME,WASHINGTON HGHTS (GRP 1 AND 2),WASHINGTON HEIGHTS REHAB (GROUPS 1 & 2),,,
,PARCELNAME,PORT RICHMOND HS AND AF,PORT RICHMOND HIGH SCHOOL AND ATHLETIC FIELD,,,
,PARCELNAME,L.U.W. BET E 42ND AND E 48 STS,LAND UNDER WATER BETWEEN E 42ND AND E 48 STS,,,
,PARCELNAME,BENJAMIN N. CARDOZA HS AND AF,BENJAMIN N. CARDOZA HIGH SCHOOL AND ATHLETIC FIELD,,,
,PARCELNAME,IRT DYRE AVENUE R.O.W,IRT DYRE AVENUE RIGHT OF WAY,,,
,PARCELNAME,DR.BETANCES 4 AND 5 HOUSES,BETANCES IV AND V HOUSES,,,
,PARCELNAME,6TH ST AND AVENUE B COMM GARDEN,6TH STREET AND AVENUE B COMMUNITY GARDEN,,,
,PARCELNAME,TREMONT HLTH CENTER AND PARK STP,TREMONT HEALTH CENTER AND PARK STRIP,,,
,PARCELNAME,WILL WASHINGTON MEMORIAL GARDEN,WILLIAM WASHINGTON MEMORIAL GARDEN,,,
,PARCELNAME,FUT GATEWAY PK/ATLANTIC AVENUE ROW,GATEWAY PARK/ATLANTIC AVENUE RIGHT OF WAY,,,
,PARCELNAME,ENG 245 LAD 161 BAT 43  PRECINCT 60,"FDNY, BATTALION 43, ENGINE 245 & LADDER 161 AND NYPD 60TH PRECINCT STATION HOUSE",,,
,PARCELNAME,PS 28 PLAYGROUND WRIGHT BROS PARK JOP,PS 28 PLAYGROUND AND WRIGHT BROTHERS PARK JOINT OPERATED PLAYGROUND,,,
,PARCELNAME,THE BROOKLYN BEARS/CARLTON AVENUE GD,THE BROOKLYN BEARS/CARLTON AVENUE GARDEN,,,
,SNAME,DITMARS BOULEVA,DITMARS BOULEVARD,,,
,PARCELNAME,BWSO BROOKLYN WATER/SEWER MAINT YARD,BWSO BROOKLYN WATER/SEWER MAINTENANCE YARD,,,
,PARCELNAME,FORT WASH REGIONAL BRANCH LIBRARY,FORT WASHINGTON REGIONAL BRANCH LIBRARY,,,
,PARCELNAME,PS 64 AND PLAYGROUND..(JOP),PS 64 AND PLAYGROUND (JOINT OPERATED PLAYGROUND),,,
,PARCELNAME,PFC THOMAS NORTON MEN PLAYGROUND,PFC NORTON PLAYGROUND,,,
,SNAME,MALBOROUGH ROAD,MARLBOROUGH ROAD,,,
,PARCELNAME,LATOURETTE PARK AND GOLF COURSE,LA TOURETTE PARK AND  GOLF COURSE,,,
,SNAME,DEBEVOISE AVE-BLDG 2-DRES,DEBEVOISE AVENUE,,,
,PARCELNAME,BRONX SCHOOL FOR LAW GOVT AND JUSTI,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",,,
,PARCELNAME,MARINERS HARBOR HOUSES AND SENR CR,MARINERS HARBOR HOUSES AND SENIOR CENTER,,,
,PARCELNAME,1680 LEXINGTON AVENUE - FMR PS 107,THE HERITAGE SCHOOL,,,
,PARCELNAME,ENCLOSED AREA BENEATH BROOKLYN BR,ENCLOSED AREA BENEATH BROOKLYN BRIDGE,,,
,PARCELNAME,STERLING REHAB (STRLING-BUFFALO,STERLING REHAB (STERLING-BUFFALO),,,
,PARCELNAME,ENG 8 LAD 2 BAT 8/ NYPD 17 PRECINCT,ENGINE 8 LADDER 2 BATTALION 8 AND NYPD 17TH PRECINCT STATION HOUSE,,,
,PARCELNAME,INTRSECTION 58TH AVE/GRAND AVENUE,,,,
,PARCELNAME,STATEN ISLAND TECH HS AND AF,STATEN ISLAND TECH HIGH SCHOOL AND ATHLETIC FIELD,,,
,PARCELNAME,UNITY PLAZA SITES 17  24 AND 25A,"UNITY PLAZA SITES 17, 24 AND 25A",,,
,PARCELNAME,LT MEYRAN AND BELLEW EDUC COMPLX,LIEUTENANTS CURTIS MEYRAN AND JOHN BELLEW EDUCATIONAL COMPLEX,,,
,PARCELNAME,1ST PRECINCT POL STATION,NYPD 1ST PRECINCT STATION HOUSE,,,
,PARCELNAME,GREENE AVENUE UNITED NGHBD PARK,GREENE AVENUE UNITED NEIGHBORHOOD PARK,,,
,PARCELNAME,BUSHWICK 2.(GROUPS..B. AND .D),BUSHWICK II (GROUPS B AND D),,,
,PARCELNAME,L.U.W. UNDER BROOKLYN BRIDGE,LAND UNDER WATER UNDER BROOKLYN BRIDGE,,,
,PARCELNAME,C.A.B. E. ROB MOORE HOUSES AND SC,CITIZENS ADVICE BUREAU E. ROBERTS MOORE HOUSES AND SENIOR CENTER,,,
,PARCELNAME,RIVER CAFE/DIRCKSEN AND TALLEYR,RIVER CAFE,,,
,PARCELNAME,SMITH ST SUBSTATION AND ROW F,SMITH STREET SUBSTATION AND RIGHT OF WAY F,,,
,PARCELNAME,JAMAICA CTR. FOR ARTS AND LEARN,JAMAICA CENTER FOR ARTS AND LEARNING,,,
,PARCELNAME,ARROW COMM GARDEN AND PLAYGROUND,ARROW COMMUNITY GARDEN AND PLAYGROUND,,,
,SNAME,ORIENTAL BLVD RM C-124,ORIENTAL BOULEVARD,,,
,PARCELNAME,S ST. CPORT/BURLING SLIP/PLAYGROUND,SOUTH STREET SEAPORT/BURLING SLIP/PLAYGROUND,,,
,PARCELNAME,LA TOURETTE PARK. AND  GOLF COURSE,LA TOURETTE PARK AND  GOLF COURSE,,,
