typecategory,pattern
"ITT, Vehicles, and Equipment","%CISCO%"
"ITT, Vehicles, and Equipment","%CITYTIME%"
"ITT, Vehicles, and Equipment","%COMMUNICATIONS%"
"ITT, Vehicles, and Equipment","%COMMUNICATION%EQUI%"
"ITT, Vehicles, and Equipment","%COMPRESSOR%"
"ITT, Vehicles, and Equipment","%COMPUTER%EQUIP%"
"ITT, Vehicles, and Equipment","%COMPUTER%REPL%"
"ITT, Vehicles, and Equipment","%COMPUTER%SYS%"
"ITT, Vehicles, and Equipment","%COMP%UPGRADE%"
"ITT, Vehicles, and Equipment","%COMPUTERIZED%"
"ITT, Vehicles, and Equipment","%COPIER%"
"ITT, Vehicles, and Equipment","%CT%SCAN%"
"ITT, Vehicles, and Equipment","%CURTAIN%"
"ITT, Vehicles, and Equipment","%CYTOMETER%"
"ITT, Vehicles, and Equipment","%DCTV%"
"ITT, Vehicles, and Equipment","%DESKTOP%"
"ITT, Vehicles, and Equipment","%DEVICE%"
"ITT, Vehicles, and Equipment","%DIGITAL%"
"ITT, Vehicles, and Equipment","%DISINFECTION%"
"ITT, Vehicles, and Equipment","%E-TICKET%"
"ITT, Vehicles, and Equipment","%ECTP%"
"ITT, Vehicles, and Equipment","%ELECTRONIC%"
"ITT, Vehicles, and Equipment","%EMAIL%"
"ITT, Vehicles, and Equipment","%ENCRYPT%"
"ITT, Vehicles, and Equipment","%ENGINE%"
"ITT, Vehicles, and Equipment","%ENTERPRISE%SOLUTIONS%"
"ITT, Vehicles, and Equipment","%EQ%PURCHASE%"
"ITT, Vehicles, and Equipment","%EQUIP%"
"ITT, Vehicles, and Equipment","%FERRY%BO%"
"ITT, Vehicles, and Equipment","%FFE%"
"ITT, Vehicles, and Equipment","%FILM%"
"ITT, Vehicles, and Equipment","%FIREBOAT%"
"ITT, Vehicles, and Equipment","%FLAT%BED%"
"ITT, Vehicles, and Equipment","%FLEET%"
"ITT, Vehicles, and Equipment","%FMS%"
"ITT, Vehicles, and Equipment","%FORKLIFT%"
"ITT, Vehicles, and Equipment","%GENERATOR%"
"ITT, Vehicles, and Equipment","%GPS%"
"ITT, Vehicles, and Equipment","%HDTV%"
"ITT, Vehicles, and Equipment","%HELICOPTER%"
"ITT, Vehicles, and Equipment","%HHS%ACC%"
"ITT, Vehicles, and Equipment","%INFO%MANAGE%"
"ITT, Vehicles, and Equipment","%INFO%SECURITY%"
"ITT, Vehicles, and Equipment","%INTERFACE%"
"ITT, Vehicles, and Equipment","IT %"
"ITT, Vehicles, and Equipment","% IT"
"ITT, Vehicles, and Equipment","%IVR %"
"ITT, Vehicles, and Equipment","%KEYWORD%"
"ITT, Vehicles, and Equipment","%KITS%"
"ITT, Vehicles, and Equipment","%LADDER%"
"ITT, Vehicles, and Equipment","% LAN %"
"ITT, Vehicles, and Equipment","%LUNG%UNIT%"
"ITT, Vehicles, and Equipment","%MACHINE%"
"ITT, Vehicles, and Equipment","%MAMOGRAM%"
"ITT, Vehicles, and Equipment","%MANHOLE%COVER%"
"ITT, Vehicles, and Equipment","%MANHOLE%RING%"
"ITT, Vehicles, and Equipment","%MANOMETRY%"
"ITT, Vehicles, and Equipment","%MED%EQMT%"
"ITT, Vehicles, and Equipment","%MEDIA%UPGRADE%"
"ITT, Vehicles, and Equipment","%MICROFILM%"
"ITT, Vehicles, and Equipment","%MICROSCOPE%"
"ITT, Vehicles, and Equipment","%MICROSPECT%"
"ITT, Vehicles, and Equipment","%MINI%BUS%"
"ITT, Vehicles, and Equipment","%MINI%VAN%"
"ITT, Vehicles, and Equipment","%MOBILIZING%"
"ITT, Vehicles, and Equipment","%MONITOR%"
"ITT, Vehicles, and Equipment","%MOORING%UPGRADE%"
"ITT, Vehicles, and Equipment","%MOSAICS%"
"ITT, Vehicles, and Equipment","%MOVEABLE%"
"ITT, Vehicles, and Equipment","%MRI%"
"ITT, Vehicles, and Equipment","%NETWORK%"
"ITT, Vehicles, and Equipment","%NOVAS%"
"ITT, Vehicles, and Equipment","%NYCAPP%"
"ITT, Vehicles, and Equipment","%NYCAPS%"
"ITT, Vehicles, and Equipment","%NYCSERV%"
"ITT, Vehicles, and Equipment","%OAISIS%"
"ITT, Vehicles, and Equipment","%PAPERLESS%"
"ITT, Vehicles, and Equipment","%PASSENGER%VAN%"
"ITT, Vehicles, and Equipment","%PIANO%"
"ITT, Vehicles, and Equipment","%PORTAL%"
"ITT, Vehicles, and Equipment","%POWER%WASHER%"
"ITT, Vehicles, and Equipment","%PRINTING%"
"ITT, Vehicles, and Equipment","%PROJECTORS%"
"ITT, Vehicles, and Equipment","%PROJECTION%SYS%"
"ITT, Vehicles, and Equipment","%PROJECTION%SOUND%SYSTEM%"
"ITT, Vehicles, and Equipment","%PUMPERS%"
"ITT, Vehicles, and Equipment","%PURCHASE%"
"ITT, Vehicles, and Equipment","%REAL%TIME%INFO%"
"ITT, Vehicles, and Equipment","%REAL%TIME%SIGN%"
"ITT, Vehicles, and Equipment","%RECORDER%"
"ITT, Vehicles, and Equipment","%REFRIGERATOR%"
"ITT, Vehicles, and Equipment","%REPORTING%"
"ITT, Vehicles, and Equipment","%RESPONSE%BOAT%"
"ITT, Vehicles, and Equipment","% RIG %"
"ITT, Vehicles, and Equipment","%ROBOT%"
"ITT, Vehicles, and Equipment","%ROUTER%"
"ITT, Vehicles, and Equipment","%SATELLITE%"
"ITT, Vehicles, and Equipment","%SCANNER%"
"ITT, Vehicles, and Equipment","%SCANNING%"
"ITT, Vehicles, and Equipment","%SCHOOL%BUS%"
"ITT, Vehicles, and Equipment","%SELF%CHECK%"
"ITT, Vehicles, and Equipment","%SEQUENCER%"
"ITT, Vehicles, and Equipment","%SHUTTLE%"
"ITT, Vehicles, and Equipment","%SIMULATOR%"
"ITT, Vehicles, and Equipment","%SKID%STEER%"
"ITT, Vehicles, and Equipment","%SPECTROMETER%"
"ITT, Vehicles, and Equipment","%SPECTROPHMETER%"
"ITT, Vehicles, and Equipment","%SUBURBANS%"
"ITT, Vehicles, and Equipment","%SURVEILLANCE%"
"ITT, Vehicles, and Equipment","%SONOGRAM%"
"ITT, Vehicles, and Equipment","%SOUND%SYST%"
"ITT, Vehicles, and Equipment","%STREAMING%"
"ITT, Vehicles, and Equipment","%SWEEPER%"
"ITT, Vehicles, and Equipment","%SYSTEM%INTEGRATOR%"
"ITT, Vehicles, and Equipment","%SYSTEM%UPGRADE%"
"ITT, Vehicles, and Equipment","% TABLES%"
"ITT, Vehicles, and Equipment","% TECH%"
"ITT, Vehicles, and Equipment","TECH%"
"ITT, Vehicles, and Equipment","%TELECOM%"
"ITT, Vehicles, and Equipment","%TELEMETRY%"
"ITT, Vehicles, and Equipment","%TOOLCAT%"
"ITT, Vehicles, and Equipment","%TRACTOR%"
"ITT, Vehicles, and Equipment","%TRAM%"
"ITT, Vehicles, and Equipment","%TRANSPORTATION%BUS%"
"ITT, Vehicles, and Equipment","%TROLLEY%"
"ITT, Vehicles, and Equipment","%ULTRASOUND%"
"ITT, Vehicles, and Equipment","%VAN"
"ITT, Vehicles, and Equipment","%VASCULAR%"
"ITT, Vehicles, and Equipment","%VENDING%"
"ITT, Vehicles, and Equipment","%VESSEL%"
"ITT, Vehicles, and Equipment","%VIRTUAL%"
"ITT, Vehicles, and Equipment","%VOICE%"
"ITT, Vehicles, and Equipment","%WAGON%"
"ITT, Vehicles, and Equipment","%WEB%PROXY%"
"ITT, Vehicles, and Equipment","%WEBSITE%"
"ITT, Vehicles, and Equipment","%WI-FI%"
"ITT, Vehicles, and Equipment","%WIRELESS%"
"ITT, Vehicles, and Equipment","%WIRETAP%"
"ITT, Vehicles, and Equipment","%WORK%STATION%"
"ITT, Vehicles, and Equipment","% X%RAY%"
"ITT, Vehicles, and Equipment","%ZAMBONI%"
"ITT, Vehicles, and Equipment","%ADDRESS%SYST%"
"ITT, Vehicles, and Equipment","%ADMIN%SYS%"
"ITT, Vehicles, and Equipment","%ASSET%SYS%"
"ITT, Vehicles, and Equipment","%ASSIGNMENT%SYST%"
"ITT, Vehicles, and Equipment","%ALARM%SYST%"
"ITT, Vehicles, and Equipment","%AUTOMATED%SYST%"
"ITT, Vehicles, and Equipment","%BILLING%SYST%"
"ITT, Vehicles, and Equipment","%BIOVAULT%SYST%"
"ITT, Vehicles, and Equipment","%COMMUNICATION%SYST%"
"ITT, Vehicles, and Equipment","%CRIME%SYST%"
"ITT, Vehicles, and Equipment","%ENROLLMENT%SYS%"
"ITT, Vehicles, and Equipment","%EQ %SYS%"
"ITT, Vehicles, and Equipment","%FAST%PASS%SYS%"
"ITT, Vehicles, and Equipment","%FILING%SYS%"
"ITT, Vehicles, and Equipment","%FIN% SYS%"
"ITT, Vehicles, and Equipment","%IMAGING%SYST%"
"ITT, Vehicles, and Equipment","%INFO%SYST%"
"ITT, Vehicles, and Equipment","%INGEST%SYST%"
"ITT, Vehicles, and Equipment","%INTELL%SYST%"
"ITT, Vehicles, and Equipment","%LAUNDRY%SYS%"
"ITT, Vehicles, and Equipment","%LICENSING%SYS%"
"ITT, Vehicles, and Equipment","%LOAD%SYS%"
"ITT, Vehicles, and Equipment","%MANAGEMENT%SYST%"
"ITT, Vehicles, and Equipment","%MEASUREMENT%SYST%"
"ITT, Vehicles, and Equipment","%MED%SYST%"
"ITT, Vehicles, and Equipment","%MEDIA%SYST%"
"ITT, Vehicles, and Equipment","%PRESERVATION%SYST%"
"ITT, Vehicles, and Equipment","%PREVENTION%SYST%"
"ITT, Vehicles, and Equipment","%PROCESSING%SYST%"
"ITT, Vehicles, and Equipment","%SECURITY%SYST%"
"ITT, Vehicles, and Equipment","%SYSTEMWIDE%SYST%"
"ITT, Vehicles, and Equipment","%TAX%SYST%"
"ITT, Vehicles, and Equipment","%TICKET%SYST%"
"ITT, Vehicles, and Equipment","%TRACKING%SYST%"
"ITT, Vehicles, and Equipment","%WORKFORCE%SYST%"
"Lump Sum","%LUMP SUM%"
"Lump Sum","% FUND%"
"Lump Sum","FUND%"
"Lump Sum","%SURVEY%"
"Lump Sum","%SUPERVISION%"
"Lump Sum","%PROGRAM%"
"Lump Sum","%10%YEAR%PLAN%"
"Lump Sum","%ACQUISITION%CITYWIDE%"
"Lump Sum","%AGENCY%PROPOSED%PROJECT%"
"Lump Sum","%AGREEMENT%"
"Lump Sum","%APPLICATION%"
"Lump Sum","%ASSESSMENT%"
"Lump Sum","%ASSOC%"
"Lump Sum","%AUDITOR%"
"Lump Sum","%AVIATION%"
"Lump Sum","%BIOSWALES%STORMWATER%"
"Lump Sum","%BPL%INFRASTRUCTURE%RECONSTRUCTION%"
"Lump Sum","%BUNDLE%PROJECTS%"
"Lump Sum","%CAPITAL%COMP%"
"Lump Sum","%CAMPAIGN%"
"Lump Sum","%CALTHOLIC%MANAGE%"
"Lump Sum","%CITY%WIDE%ACQUISITION%"
"Lump Sum","%CITY%WIDE%MANAGEMENT%"
"Lump Sum","%CITY%WIDE%MEASURES%"
"Lump Sum","%CITY%WIDE%SECURITY%"
"Lump Sum","%COACH%"
"Lump Sum","%COALITION%"
"Lump Sum","%COMB%"
"Lump Sum","%COMMITTEE%"
"Lump Sum","%COMPLIANCE%"
"Lump Sum","%COMPUTER%PROG%"
"Lump Sum","%CONTRACT%"
"Lump Sum","%CONSERVATION%"
"Lump Sum","%CONSULTANT%"
"Lump Sum","%CONTRACTS%"
"Lump Sum","%COOKING%PROJECT%"
"Lump Sum","%COOPERATIVE%"
"Lump Sum","%CORP%"
"Lump Sum","%COUNCIL%"
"Lump Sum","%DISTRIBUTION%FY%"
"Lump Sum","%ELLA%FY%"
"Lump Sum","%EMERGENCY%CONT%"
"Lump Sum","%EMERGENCY%SAFETY%SYSTEMS%"
"Lump Sum","%EXAMINATION%"
"Lump Sum","%FERRY%PROJECTS%"
"Lump Sum","%FUND"
"Lump Sum","%GENERAL%"
"Lump Sum","%HUD %"
"Lump Sum","%HOLD %"
"Lump Sum","% HOLD%"
"Lump Sum","%IFA %"
"Lump Sum","%IMPACT%STATEMENT%"
"Lump Sum","%IMPROVEMENT%CITYWIDE%"
"Lump Sum","% INC%"
"Lump Sum","%INITIATIVE%"
"Lump Sum","%INTITIATIVE%"
"Lump Sum","%INSPCTN%"
"Lump Sum","%INSPECTN%"
"Lump Sum","%INSPECTION%"
"Lump Sum","%INVESTIG%"
"Lump Sum","%JOB%ORDER%CONTRACT%"
"Lump Sum","% LLC%"
"Lump Sum","%LUMP%"
"Lump Sum","%MANAGEMENT%"
"Lump Sum","%MAINTENANCE%"
"Lump Sum","%MASTER%PLAN%"
"Lump Sum","%MGNT%SVCS%"
"Lump Sum","%MGNT%SVCES%"
"Lump Sum","%MISC %"
"Lump Sum","%MISC. %"
"Lump Sum","%MISCELANNOUES%"
"Lump Sum","%MITIGATION%PGM%"
"Lump Sum","%MITIGATION%PROGRAM%"
"Lump Sum","%MONITORING%"
"Lump Sum","%NATIONAL%ASSOC%"
"Lump Sum","%NEW%NEED%"
"Lump Sum","%OPPORTUNIT%"
"Lump Sum","%ORGANIZATION%"
"Lump Sum","%OVERSIGHT%"
"Lump Sum","%PARTNERSHIP%"
"Lump Sum","%PED%SAFETY%"
"Lump Sum","%PEDESTRIAN%SAFETY%"
"Lump Sum","%PEDESTRIAN%SYS%"
"Lump Sum","%PILOT%"
"Lump Sum","%PLANNED%PARENTHOOD%OF%NYC"
"Lump Sum","%PRIORITY%GRID%"
"Lump Sum","%PROCUREMENT%"
"Lump Sum","%PROFESSIONAL%SERVICE%"
"Lump Sum","%PROJECT%RENEWAL"
"Lump Sum","%PROG%"
"Lump Sum","%PROTECTION%CITYWIDE%"
"Lump Sum","%REIMBURSEMENT%"
"Lump Sum","%RESILIENCY%MEASURES%"
"Lump Sum","%RESOURCES%"
"Lump Sum","%REVITAL%PROJECT%"
"Lump Sum","%SAFE%COMMUNIT%"
"Lump Sum","%SAFE%ROUTE%SCHOOL%"
"Lump Sum","%SAFE%ROUTE%TO %"
"Lump Sum","%SAFETY%IMPROVEMENT%"
"Lump Sum","%SAFETY%PROJECT%"
"Lump Sum","%SAMPLING%"
"Lump Sum","SCA%"
"Lump Sum","%SE%&%WM%"
"Lump Sum","%SEEDING%"
"Lump Sum","%SERVICE%"
"Lump Sum","%SERVICE%AGREEMENT%"
"Lump Sum","%SEWER%WATER%"
"Lump Sum","%SEWER%WM%"
"Lump Sum","%SOCIETY%"
"Lump Sum","%STAFF%"
"Lump Sum","%STORM%WM%"
"Lump Sum","%STORM%WATER%MANAGEMENT%"
"Lump Sum","%STORM%WATER%MGMT%"
"Lump Sum","%STRATEGIC%PLAN%"
"Lump Sum","%STUDIES%"
"Lump Sum","%SUPPORT%"
"Lump Sum","%SURPLUS%"
"Lump Sum","%SWER%WM%"
"Lump Sum","%SWR%WM%"
"Lump Sum","%SWR%W/M%"
"Lump Sum","%SYSTEMWIDE%RENO%NEW%EXPAN%"
"Lump Sum","%TASK%ORDER%"
"Lump Sum","%TEN%YEAR%PLAN%"
"Lump Sum","%TESTING%"
"Lump Sum","%TORTS%"
"Lump Sum","%TREES%"
"Lump Sum","%ULURP%"
"Lump Sum","%VARIOUS%LOCATIONS%"
"Lump Sum","%VARIOUS%WORK%"
"Lump Sum","%VISION%ZERO%"
"Lump Sum","%VOLUNTEERS%"
"Lump Sum","%W/M%SEWER%"
"Lump Sum","%W/M%SWR%"
"Lump Sum","%WATER%MAIN%SEWER%"
"Lump Sum","%WM%SEWER%"
"Lump Sum","%WM%SWR%"
"Fixed Asset","%AUDITORIUM%"
"Fixed Asset","%BASIN%"
"Fixed Asset","%BATHROOM%"
"Fixed Asset","%BOILER%"
"Fixed Asset","%BORING%"
"Fixed Asset","%BLVD%"
"Fixed Asset","%BRIDGE%"
"Fixed Asset","%BUILDING%"
"Fixed Asset","%BULKHEAD%"
"Fixed Asset","%CAFETERIA%"
"Fixed Asset","%CANAL%"
"Fixed Asset","%CEILING%"
"Fixed Asset","%CENTER%"
"Fixed Asset","%CLIMATE%"
"Fixed Asset","%CONSTRUCTION%"
"Fixed Asset","%COOLING%"
"Fixed Asset","%CULVERT%"
"Fixed Asset","%DAY CARE%"
"Fixed Asset","%DEPOT%"
"Fixed Asset","%ELECTRICAL%"
"Fixed Asset","%ELEVATOR%"
"Fixed Asset","%ESCALATOR%"
"Fixed Asset","%EXTERIOR%"
"Fixed Asset","%FACILITY%"
"Fixed Asset","%FENC%"
"Fixed Asset","%FIELD%"
"Fixed Asset","%FIXTURE%"
"Fixed Asset","%FLOOR%"
"Fixed Asset","%GARAGE%"
"Fixed Asset","%GARDEN%"
"Fixed Asset","%GREENWAY%"
"Fixed Asset","%GYM%"
"Fixed Asset","%HALL%"
"Fixed Asset","%HEATING%"
"Fixed Asset","%HOSPITAL%"
"Fixed Asset","%HOUSE%"
"Fixed Asset","%HVAC%"
"Fixed Asset","%INTERIOR%"
"Fixed Asset","%KITCHEN%"
"Fixed Asset","%LAB%"
"Fixed Asset","%LANDING%"
"Fixed Asset","%LIBRARY%"
"Fixed Asset","%LIGHTING%"
"Fixed Asset","%MASONRY%"
"Fixed Asset","%MILLING%"
"Fixed Asset","%MTS%"
"Fixed Asset","%MUSEUM%"
"Fixed Asset","%PARAPET%"
"Fixed Asset","%PARK%"
"Fixed Asset","%PIER%"
"Fixed Asset","%PIPE%"
"Fixed Asset","%PIPING%"
"Fixed Asset","%PLANT%"
"Fixed Asset","%PLAYGROUND%"
"Fixed Asset","%PLAZA%"
"Fixed Asset","%POOL%"
"Fixed Asset","%RAMP%"
"Fixed Asset","%RECON%"
"Fixed Asset","%REHAB%"
"Fixed Asset","%RENOVAT%"
"Fixed Asset","%REPLACE%"
"Fixed Asset","%RESTORATION%"
"Fixed Asset","%ROOF%"
"Fixed Asset","%ROOM%"
"Fixed Asset","%SEWER%"
"Fixed Asset","%SHELTER%"
"Fixed Asset","%SIDEWALK%"
"Fixed Asset","%SITE ACQ%"
"Fixed Asset","%SPRAY%BOOTH%"
"Fixed Asset","%STADIUM%"
"Fixed Asset","%STATION%"
"Fixed Asset","%STREET%"
"Fixed Asset","%TERMINAL%"
"Fixed Asset","%THEATER%"
"Fixed Asset","%TOILET%"
"Fixed Asset","%TUNNEL%"
"Fixed Asset","%VENTILATION%"
"Fixed Asset","%WASTE%"
"Fixed Asset","%WINDOW%"
"Fixed Asset","%WPC%"
"Fixed Asset","%WWTP%"
"Fixed Asset","%A/C%"
"Fixed Asset","%ACQ%"
"Fixed Asset","%ACQUISITION%"
"Fixed Asset","%AERATION%"
"Fixed Asset","%ADA%"
"Fixed Asset","%ADDITION%"
"Fixed Asset","%AIR%BOX%"
"Fixed Asset","%AIR%CON%"
"Fixed Asset","%ALARM%BOX%"
"Fixed Asset","%ANNEX%"
"Fixed Asset","%ARENA%"
"Fixed Asset","%ART%"
"Fixed Asset","%ASBESTOS%"
"Fixed Asset","%ASPHALT%"
"Fixed Asset","%ATRIUM%"
"Fixed Asset","%ATC%"
"Fixed Asset","%AQUARIUM%"
"Fixed Asset","%BACKFLOW%SYS%"
"Fixed Asset","%BARRIER%"
"Fixed Asset","%BOAT%LAUNCH%"
"Fixed Asset","%BIKEWAY%"
"Fixed Asset","%BIN%"
"Fixed Asset","%BIOSWALE%"
"Fixed Asset","%BLDG%"
"Fixed Asset","%BLDG%ACQ%"
"Fixed Asset","%BLUEBELT%"
"Fixed Asset","%BOARDWALK%"
"Fixed Asset","%BURNER%"
"Fixed Asset","%CABLING%"
"Fixed Asset","%CALL%BOX%"
"Fixed Asset","%CAMPUS%"
"Fixed Asset","%CAR%PORT%"
"Fixed Asset","%CATWALK%"
"Fixed Asset","%CEMETERY%"
"Fixed Asset","%CHAMBER%"
"Fixed Asset","%CHILLER%"
"Fixed Asset","%CLINIC%"
"Fixed Asset","%COMFORT%ST%"
"Fixed Asset","%COMPACTOR%"
"Fixed Asset","%COMPUTER%LAB%"
"Fixed Asset","%COMPUTER%ROOM%"
"Fixed Asset","%CONDUIT%"
"Fixed Asset","%CONSOLIDATION%"
"Fixed Asset","%CONSTRUCT%"
"Fixed Asset","%CONVERSION%"
"Fixed Asset","%CORRIDOR%"
"Fixed Asset","%COURT%"
"Fixed Asset","% CTS %"
"Fixed Asset","CTS %"
"Fixed Asset","% CTS"
"Fixed Asset","%CSO%"
"Fixed Asset","%DAM%"
"Fixed Asset","%DEMOLITION%"
"Fixed Asset","%DEVELOPMENT%"
"Fixed Asset","%DIGESTER%"
"Fixed Asset","%DIMMER%SYST%"
"Fixed Asset","%DOCK%"
"Fixed Asset","%DOG%RUN%"
"Fixed Asset","%DOOR%"
"Fixed Asset","%DORM%"
"Fixed Asset","%DUCT%"
"Fixed Asset","%EE%UPGRADE%"
"Fixed Asset","%EJECTOR%"
"Fixed Asset","%ELECTRIC%SYS%"
"Fixed Asset","%ELEC%UPGRADE%"
"Fixed Asset","%ENCLOS%"
"Fixed Asset","%ENERGY%UPGRADE%"
"Fixed Asset","%ENTRANCE%"
"Fixed Asset","%ENTRY"
"Fixed Asset","%ESPLANADE%"
"Fixed Asset","%EXHAUST%SYSTEM%"
"Fixed Asset","%EXHIBIT%"
"Fixed Asset","%EXPANSION%"
"Fixed Asset","%EXTENSION%"
"Fixed Asset","%FACADE%"
"Fixed Asset","%FACILIT%"
"Fixed Asset","%FIRE%ALAR%"
"Fixed Asset","%FIRE%SAFETY%"
"Fixed Asset","%FIRE%SYSTEM%"
"Fixed Asset","%FIRE%UPGRADE%"
"Fixed Asset","%FLAG%"
"Fixed Asset","%FOUNTAIN%"
"Fixed Asset","%GALLERY%"
"Fixed Asset","%GAS%"
"Fixed Asset","%GATE%"
"Fixed Asset","%GOLF%COURSE%"
"Fixed Asset","%GOVERNORS%ISLAND%"
"Fixed Asset","% GRAT%"
"Fixed Asset","%GUARDS%"
"Fixed Asset","%HEAT%"
"Fixed Asset","%HIGH%LINE%"
"Fixed Asset","%HOT%WATER%"
"Fixed Asset","%INFRASTRUCTURE%"
"Fixed Asset","%INSTALLATION%"
"Fixed Asset","%INTERCONNECTION%"
"Fixed Asset","%IRRIGATION%"
"Fixed Asset","%LAMP%"
"Fixed Asset","%LAWNS%"
"Fixed Asset","%LEASE%RENEW%"
"Fixed Asset","%LIGHTS%"
"Fixed Asset","%LIGHTPOLE%"
"Fixed Asset","%LOCAL%LAW%11%"
"Fixed Asset","%LOUNGE%"
"Fixed Asset","%MARINA%"
"Fixed Asset","%MEDIAN%"
"Fixed Asset","%MICROFILTRATION%"
"Fixed Asset","%MODERNIZATION%"
"Fixed Asset","% MOVE %"
"Fixed Asset","%NEW%BRANCH%"
"Fixed Asset","NDF%"
"Fixed Asset","%OBSERVATORY%"
"Fixed Asset","%OFFICES%"
"Fixed Asset","%OUTDOOR%SPACE%"
"Fixed Asset","%OUTFITTIN%"
"Fixed Asset","%OUT-FITTIN%"
"Fixed Asset","%OVERPASS%"
"Fixed Asset","%PASSIVE%LANDSCAPE%"
"Fixed Asset","%PATH%"
"Fixed Asset","%PAVEMENT%"
"Fixed Asset","% PEN %"
"Fixed Asset","%PEDESTALS%"
"Fixed Asset","%PLDG%"
"Fixed Asset","%PLGD%"
"Fixed Asset","%PLGRD%"
"Fixed Asset","%PLYG%"
"Fixed Asset","%PRINTSHOP%"
"Fixed Asset","%PROMENADE%"
"Fixed Asset","%PUMP%"
"Fixed Asset","%PV PANELS%"
"Fixed Asset","%REFURB%"
"Fixed Asset","%RELOCAT%"
"Fixed Asset","%REMOVAL%"
"Fixed Asset","%RENO%"
"Fixed Asset","%REPAIR%SHOP%"
"Fixed Asset","%REP% WM %"
"Fixed Asset","%RESTITUTION%"
"Fixed Asset","%RESURFACING%"
"Fixed Asset","%RETAINING%WALL%"
"Fixed Asset","%RETRO%FIT%"
"Fixed Asset","%RIDING%RING%"
"Fixed Asset","%RINK%"
"Fixed Asset","%RD%IMPROVEMENT%"
"Fixed Asset","%ROAD%IMPROVEMENT%"
"Fixed Asset","%ROAD%WIDE%"
"Fixed Asset","%ROPE%"
"Fixed Asset","%SCHOOLYARDS%"
"Fixed Asset","%SBS %"
"Fixed Asset","% SBS%"
"Fixed Asset","%SEAT %"
"Fixed Asset","%SEATING%"
"Fixed Asset","%SECURITY%INSTALL%"
"Fixed Asset","%SECURITY%SYS%"
"Fixed Asset","%SECURITY%UPG%"
"Fixed Asset","%SHAFT%"
"Fixed Asset","%SHED%"
"Fixed Asset","%SHORELINE%"
"Fixed Asset","%SHOWER%"
"Fixed Asset","%SIGN%"
"Fixed Asset","%SKATE P%"
"Fixed Asset","%SKYLIGHT%"
"Fixed Asset","%SMOKE%SYSTEM%"
"Fixed Asset","%SOLAR%PHOTO%"
"Fixed Asset","%SOLAR%PV%"
"Fixed Asset","%SPACE%"
"Fixed Asset","%SOCCER%"
"Fixed Asset","%SPORT%AREA%"
"Fixed Asset","%SPORT%COMPLEX%"
"Fixed Asset","%SPACE%IMPRO%"
"Fixed Asset","%SPRINKLER%"
"Fixed Asset","%STABILIZATION%"
"Fixed Asset","%STAGE%"
"Fixed Asset","%STAIR%"
