,,2020,,,,,,,,,,,,2010,,,,,,,,,,,,2000,,,,,,,,,,,
PUMA2010,3703,"123,837",100.0,"48,297",39.0,"31,402",25.4,"35,268",28.5,"4,856",3.9,"4,014",3.2,"115,014",100.0,"38,347",33.3,"40,619",35.3,"30,968",26.9,"2,951",2.6,"2,129",1.9,"111,540",100.0,"26,080",23.4,"54,501",48.9,"26,767",24.0,"1,886",1.7,"2,306",2.1
PUMA2010,3704,"130,351",100.0,"58,209",44.7,"26,850",20.6,"26,926",20.7,"13,141",10.1,"5,225",4.0,"123,764",100.0,"52,434",42.4,"31,737",25.6,"26,453",21.4,"10,175",8.2,"2,965",2.4,"119,960",100.0,"41,600",34.7,"43,076",35.9,"23,009",19.2,"7,635",6.4,"4,640",3.9
PUMA2010,3705,"178,035",100.0,"106,163",59.6,"7,063",4.0,"58,336",32.8,"1,643",0.9,"4,830",2.7,"161,372",100.0,"98,371",61.0,"7,256",4.5,"52,250",32.4,"1,311",0.8,"2,184",1.4,"141,790",100.0,"81,251",57.3,"7,689",5.4,"48,856",34.5,"1,146",0.8,"2,848",2.0
PUMA2010,3706,"134,660",100.0,"92,425",68.6,"7,570",5.6,"21,338",15.8,"9,470",7.0,"3,857",2.9,"127,405",100.0,"83,839",65.8,"9,024",7.1,"23,071",18.1,"8,692",6.8,"2,779",2.2,"129,432",100.0,"76,928",59.4,"13,987",10.8,"25,098",19.4,"8,603",6.6,"4,816",3.7
PUMA2010,3707,"140,292",100.0,"95,602",68.1,"2,181",1.6,"36,983",26.4,"1,971",1.4,"3,555",2.5,"134,257",100.0,"89,639",66.8,"1,873",1.4,"38,579",28.7,"1,940",1.4,"2,226",1.7,"133,864",100.0,"82,531",61.7,"1,922",1.4,"43,505",32.5,"2,076",1.6,"3,830",2.9
PUMA2010,3708,"144,701",100.0,"93,298",64.5,"3,160",2.2,"42,415",29.3,"2,422",1.7,"3,406",2.4,"139,293",100.0,"87,430",62.8,"2,097",1.5,"45,573",32.7,"2,012",1.4,"2,181",1.6,"132,365",100.0,"76,973",58.2,"1,948",1.5,"48,356",36.5,"1,626",1.2,"3,462",2.6
PUMA2010,3709,"198,808",100.0,"109,182",54.9,"5,599",2.8,"51,559",25.9,"23,856",12.0,"8,612",4.3,"181,404",100.0,"104,831",57.8,"5,631",3.1,"54,094",29.8,"11,129",6.1,"5,719",3.2,"175,553",100.0,"96,910",55.2,"8,585",4.9,"56,387",32.1,"6,842",3.9,"6,829",3.9
PUMA2010,3710,"159,561",100.0,"107,658",67.5,"3,756",2.4,"43,098",27.0,"1,363",0.9,"3,686",2.3,"156,118",100.0,"108,578",69.5,"2,944",1.9,"41,835",26.8,882,0.6,"1,879",1.2,"143,229",100.0,"97,968",68.4,"2,782",1.9,"39,637",27.7,609,0.4,"2,233",1.6
PUMA2010,3801,"188,800",100.0,"123,252",65.3,"38,769",20.5,"14,819",7.8,"5,881",3.1,"6,079",3.2,"198,483",100.0,"140,881",71.0,"33,910",17.1,"15,836",8.0,"4,888",2.5,"2,968",1.5,"216,234",100.0,"159,456",73.7,"28,729",13.3,"19,501",9.0,"4,389",2.0,"4,159",1.9
PUMA2010,3802,"127,022",100.0,"47,388",37.3,"35,216",27.7,"25,070",19.7,"12,927",10.2,"6,421",5.1,"127,399",100.0,"52,892",41.5,"32,747",25.7,"29,183",22.9,"9,025",7.1,"3,552",2.8,"129,535",100.0,"55,251",42.7,"26,252",20.3,"37,707",29.1,"6,742",5.2,"3,583",2.8
PUMA2010,3803,"134,068",100.0,"31,774",23.7,"20,391",15.2,"69,411",51.8,"5,163",3.9,"7,329",5.5,"118,665",100.0,"26,333",22.2,"11,322",9.5,"74,735",63.0,"2,839",2.4,"3,436",2.9,"109,091",100.0,"18,351",16.8,"2,255",2.1,"84,279",77.3,912,0.8,"3,294",3.0
PUMA2010,3804,"122,143",100.0,"55,873",45.7,"18,252",14.9,"33,510",27.4,"9,710",7.9,"4,798",3.9,"117,569",100.0,"58,649",49.9,"14,170",12.1,"35,713",30.4,"6,602",5.6,"2,435",2.1,"115,433",100.0,"60,995",52.8,"8,481",7.3,"40,252",34.9,"3,155",2.7,"2,550",2.2
PUMA2010,3805,"231,983",100.0,"18,517",8.0,"170,406",73.5,"6,257",2.7,"26,536",11.4,"10,267",4.4,"219,920",100.0,"15,563",7.1,"173,711",79.0,"7,098",3.2,"18,847",8.6,"4,701",2.1,"217,063",100.0,"13,026",6.0,"179,355",82.6,"6,907",3.2,"13,702",6.3,"4,073",1.9
PUMA2010,3806,"207,780",100.0,"28,256",13.6,"134,292",64.6,"13,328",6.4,"21,118",10.2,"10,786",5.2,"193,892",100.0,"25,788",13.3,"134,737",69.5,"13,872",7.2,"14,804",7.6,"4,691",2.4,"192,211",100.0,"27,930",14.5,"132,645",69.0,"16,299",8.5,"10,704",5.6,"4,633",2.4
PUMA2010,3807,"184,576",100.0,"30,141",16.3,"98,956",53.6,"13,355",7.2,"33,055",17.9,"9,069",4.9,"144,664",100.0,"21,444",14.8,"89,903",62.1,"8,196",5.7,"21,095",14.6,"4,026",2.8,"122,241",100.0,"20,572",16.8,"77,670",63.5,"8,057",6.6,"12,036",9.8,"3,906",3.2
PUMA2010,3808,"163,839",100.0,"14,538",8.9,"106,664",65.1,"5,820",3.6,"28,856",17.6,"7,961",4.9,"151,010",100.0,"11,393",7.5,"109,516",72.5,"5,168",3.4,"21,290",14.1,"3,643",2.4,"143,441",100.0,"9,976",7.0,"109,366",76.2,"5,449",3.8,"15,411",10.7,"3,239",2.3
PUMA2010,3809,"164,237",100.0,"38,986",23.7,"55,276",33.7,"13,191",8.0,"50,307",30.6,"6,477",3.9,"164,937",100.0,"40,753",24.7,"53,158",32.2,"11,959",7.3,"55,285",33.5,"3,782",2.3,"166,379",100.0,"44,911",27.0,"46,676",28.1,"12,411",7.5,"57,974",34.8,"4,407",2.6
PUMA2010,3810,"169,803",100.0,"13,915",8.2,"115,072",67.8,"4,831",2.8,"26,071",15.4,"9,914",5.8,"149,334",100.0,"9,881",6.6,"108,319",72.5,"3,580",2.4,"22,949",15.4,"4,605",3.1,"125,567",100.0,"7,348",5.9,"92,444",73.6,"3,836",3.1,"18,266",14.5,"3,673",2.9
PUMA2010,3901,"164,398",100.0,"17,585",10.7,"128,967",78.4,"1,789",1.1,"12,187",7.4,"3,870",2.4,"159,853",100.0,"13,331",8.3,"136,590",85.4,"1,666",1.0,"6,597",4.1,"1,669",1.0,"152,551",100.0,"8,927",5.9,"135,935",89.1,"1,317",0.9,"4,994",3.3,"1,378",0.9
PUMA2010,3902,"141,686",100.0,"20,420",14.4,"86,454",61.0,"4,953",3.5,"25,934",18.3,"3,925",2.8,"133,121",100.0,"17,665",13.3,"94,054",70.7,"4,027",3.0,"14,989",11.3,"2,386",1.8,"128,568",100.0,"12,431",9.7,"99,117",77.1,"3,198",2.5,"11,296",8.8,"2,526",2.0
PUMA2010,3903,"189,663",100.0,"58,955",31.1,"62,560",33.0,"40,093",21.1,"20,632",10.9,"7,423",3.9,"175,756",100.0,"50,055",28.5,"69,525",39.6,"38,620",22.0,"13,111",7.5,"4,445",2.5,"162,609",100.0,"32,192",19.8,"81,264",50.0,"35,189",21.6,"8,496",5.2,"5,468",3.4
PUMA2010,4001,"176,207",100.0,"36,888",20.9,"110,033",62.4,"7,656",4.3,"12,903",7.3,"8,727",5.0,"147,577",100.0,"36,998",25.1,"93,731",63.5,"5,808",3.9,"8,318",5.6,"2,722",1.8,"142,098",100.0,"48,458",34.1,"74,568",52.5,"5,720",4.0,"5,553",3.9,"7,799",5.5
PUMA2010,4002,"136,869",100.0,"69,634",50.9,"31,751",23.2,"21,135",15.4,"8,034",5.9,"6,315",4.6,"129,253",100.0,"83,057",64.3,"12,921",10.0,"25,816",20.0,"5,151",4.0,"2,308",1.8,"120,710",100.0,"81,849",67.8,"3,785",3.1,"28,283",23.4,"3,360",2.8,"3,433",2.8
PUMA2010,4003,"153,236",100.0,"29,038",18.9,"46,671",30.5,"61,841",40.4,"6,157",4.0,"9,529",6.2,"134,217",100.0,"27,478",20.5,"20,273",15.1,"81,035",60.4,"2,494",1.9,"2,937",2.2,"121,054",100.0,"22,948",19.0,"2,959",2.4,"90,679",74.9,"1,016",0.8,"3,452",2.9
PUMA2010,4004,"152,369",100.0,"21,211",13.9,"72,254",47.4,"30,774",20.2,"18,185",11.9,"9,945",6.5,"118,579",100.0,"19,045",16.1,"51,663",43.6,"34,902",29.4,"8,684",7.3,"4,285",3.6,"115,060",100.0,"22,156",19.3,"35,750",31.1,"48,065",41.8,"4,867",4.2,"4,222",3.7
PUMA2010,4005,"115,390",100.0,"17,893",15.5,"72,892",63.2,"8,153",7.1,"8,740",7.6,"7,712",6.7,"106,002",100.0,"18,844",17.8,"68,871",65.0,"8,907",8.4,"5,784",5.5,"3,596",3.4,"105,601",100.0,"25,524",24.2,"59,143",56.0,"11,827",11.2,"4,947",4.7,"4,160",3.9
PUMA2010,4006,"137,748",100.0,"17,967",13.0,"37,494",27.2,"65,920",47.9,"6,606",4.8,"9,761",7.1,"123,018",100.0,"14,326",11.6,"19,596",15.9,"82,337",66.9,"3,242",2.6,"3,517",2.9,"123,117",100.0,"12,087",9.8,"9,122",7.4,"96,192",78.1,"1,899",1.5,"3,817",3.1
PUMA2010,4007,"134,109",100.0,"30,681",22.9,"4,215",3.1,"89,395",66.7,"1,739",1.3,"8,079",6.0,"119,578",100.0,"25,544",21.4,"1,188",1.0,"89,701",75.0,789,0.7,"2,356",2.0,"116,790",100.0,"23,783",20.4,804,0.7,"88,673",75.9,655,0.6,"2,875",2.5
PUMA2010,4008,"169,668",100.0,"65,370",38.5,"5,715",3.4,"72,795",42.9,"14,441",8.5,"11,347",6.7,"154,541",100.0,"59,331",38.4,"5,977",3.9,"74,645",48.3,"8,833",5.7,"5,755",3.7,"146,857",100.0,"57,418",39.1,"8,745",6.0,"67,107",45.7,"5,786",3.9,"7,801",5.3
PUMA2010,4009,"204,005",100.0,"17,763",8.7,"43,035",21.1,"120,905",59.3,"10,502",5.1,"11,800",5.8,"193,723",100.0,"16,277",8.4,"50,145",25.9,"115,715",59.7,"7,296",3.8,"4,290",2.2,"194,740",100.0,"15,736",8.1,"67,053",34.4,"99,231",51.0,"7,134",3.7,"5,586",2.9
PUMA2010,4010,"143,132",100.0,"11,625",8.1,"4,547",3.2,"112,665",78.7,"2,659",1.9,"11,636",8.1,"135,648",100.0,"9,019",6.6,"1,816",1.3,"120,258",88.7,"1,480",1.1,"3,075",2.3,"145,359",100.0,"7,824",5.4,"2,145",1.5,"128,871",88.7,"1,445",1.0,"5,074",3.5
PUMA2010,4011,"110,492",100.0,"11,363",10.3,"27,275",24.7,"60,875",55.1,"2,942",2.7,"8,037",7.3,"107,129",100.0,"10,050",9.4,"16,716",15.6,"76,499",71.4,"1,348",1.3,"2,516",2.3,"112,670",100.0,"9,281",8.2,"9,711",8.6,"89,043",79.0,870,0.8,"3,765",3.3
PUMA2010,4012,"155,282",100.0,"57,337",36.9,"33,233",21.4,"4,631",3.0,"55,407",35.7,"4,674",3.0,"147,374",100.0,"61,941",42.0,"31,940",21.7,"4,206",2.9,"46,614",31.6,"2,673",1.8,"139,269",100.0,"66,719",47.9,"32,081",23.0,"4,742",3.4,"30,342",21.8,"5,385",3.9
PUMA2010,4013,"133,143",100.0,"22,843",17.2,"68,606",51.5,"2,299",1.7,"34,879",26.2,"4,516",3.4,"121,790",100.0,"17,641",14.5,"75,777",62.2,"1,679",1.4,"24,135",19.8,"2,558",2.1,"119,871",100.0,"13,004",10.8,"83,290",69.5,"1,303",1.1,"16,290",13.6,"5,984",5.0
PUMA2010,4014,"176,543",100.0,"18,727",10.6,"113,794",64.5,"3,973",2.3,"29,237",16.6,"10,812",6.1,"163,547",100.0,"18,117",11.1,"116,934",71.5,"3,529",2.2,"22,280",13.6,"2,687",1.6,"158,548",100.0,"17,000",10.7,"112,181",70.8,"4,412",2.8,"17,686",11.2,"7,269",4.6
PUMA2010,4015,"162,557",100.0,"23,786",14.6,"62,835",38.7,"44,568",27.4,"21,196",13.0,"10,172",6.3,"158,639",100.0,"24,243",15.3,"61,512",38.8,"53,978",34.0,"15,229",9.6,"3,677",2.3,"166,315",100.0,"21,500",12.9,"62,462",37.6,"62,283",37.4,"13,242",8.0,"6,828",4.1
PUMA2010,4016,"156,693",100.0,"13,910",8.9,"98,989",63.2,"6,557",4.2,"30,486",19.5,"6,751",4.3,"147,751",100.0,"11,524",7.8,"106,953",72.4,"5,225",3.5,"21,690",14.7,"2,359",1.6,"149,351",100.0,"9,414",6.3,"113,197",75.8,"4,699",3.1,"18,380",12.3,"3,661",2.5
PUMA2010,4017,"198,527",100.0,"31,338",15.8,"72,103",36.3,"2,362",1.2,"86,294",43.5,"6,430",3.2,"181,636",100.0,"24,177",13.3,"90,322",49.7,"1,354",0.7,"63,052",34.7,"2,731",1.5,"171,778",100.0,"15,054",8.8,"111,208",64.7,681,0.4,"39,676",23.1,"5,159",3.0
PUMA2010,4018,"120,104",100.0,"19,052",15.9,"62,985",52.4,"13,192",11.0,"20,369",17.0,"4,506",3.8,"114,698",100.0,"18,673",16.3,"66,971",58.4,"13,472",11.7,"13,710",12.0,"1,872",1.6,"116,138",100.0,"18,123",15.6,"66,328",57.1,"16,772",14.4,"11,143",9.6,"3,772",3.2
PUMA2010,4101,"186,153",100.0,"47,189",25.3,"87,922",47.2,"12,923",6.9,"27,594",14.8,"10,525",5.7,"174,174",100.0,"47,318",27.2,"83,480",47.9,"12,388",7.1,"25,197",14.5,"5,791",3.3,"192,689",100.0,"52,997",27.5,"85,098",44.2,"13,649",7.1,"25,726",13.4,"15,219",7.9
PUMA2010,4102,"189,960",100.0,"123,319",64.9,"17,769",9.4,"8,450",4.4,"35,354",18.6,"5,068",2.7,"183,339",100.0,"120,075",65.5,"20,588",11.2,"10,645",5.8,"28,401",15.5,"3,630",2.0,"181,666",100.0,"107,147",59.0,"25,840",14.2,"17,719",9.8,"24,690",13.6,"6,270",3.5
PUMA2010,4103,"270,930",100.0,"48,989",18.1,"55,907",20.6,"5,431",2.0,"155,516",57.4,"5,087",1.9,"248,328",100.0,"41,176",16.6,"73,619",29.6,"5,522",2.2,"123,002",49.5,"5,009",2.0,"243,691",100.0,"41,036",16.8,"100,325",41.2,"6,873",2.8,"87,945",36.1,"7,512",3.1
PUMA2010,4104,"122,328",100.0,"14,532",11.9,"42,040",34.4,"2,645",2.2,"59,961",49.0,"3,150",2.6,"116,852",100.0,"11,825",10.1,"54,970",47.0,"2,403",2.1,"45,739",39.1,"1,915",1.6,"116,864",100.0,"10,448",8.9,"70,506",60.3,"2,298",2.0,"30,841",26.4,"2,771",2.4
PUMA2010,4105,"199,556",100.0,"24,877",12.5,"18,150",9.1,"104,052",52.1,"36,304",18.2,"16,173",8.1,"188,688",100.0,"22,215",11.8,"24,540",13.0,"105,227",55.8,"27,086",14.4,"9,620",5.1,"196,365",100.0,"20,229",10.3,"36,018",18.3,"109,440",55.7,"19,663",10.0,"11,015",5.6
PUMA2010,4106,"164,781",100.0,"30,407",18.5,"44,366",26.9,"19,734",12.0,"60,943",37.0,"9,331",5.7,"154,017",100.0,"26,639",17.3,"52,792",34.3,"20,126",13.1,"47,348",30.7,"7,112",4.6,"149,895",100.0,"24,555",16.4,"58,353",38.9,"21,879",14.6,"35,440",23.6,"9,668",6.4
PUMA2010,4107,"153,099",100.0,"80,816",52.8,"8,098",5.3,"7,387",4.8,"53,298",34.8,"3,500",2.3,"146,141",100.0,"77,290",52.9,"10,735",7.3,"9,001",6.2,"46,051",31.5,"3,064",2.1,"141,652",100.0,"69,663",49.2,"15,735",11.1,"11,555",8.2,"40,067",28.3,"4,632",3.3
PUMA2010,4108,"119,706",100.0,"19,594",16.4,"52,579",43.9,"3,442",2.9,"37,141",31.0,"6,950",5.8,"111,988",100.0,"15,092",13.5,"61,890",55.3,"2,784",2.5,"29,199",26.1,"3,023",2.7,"114,450",100.0,"12,890",11.3,"70,702",61.8,"2,485",2.2,"24,407",21.3,"3,966",3.5
PUMA2010,4109,"162,153",100.0,"45,635",28.1,"42,826",26.4,"4,515",2.8,"62,997",38.9,"6,180",3.8,"133,918",100.0,"43,906",32.8,"36,150",27.0,"2,412",1.8,"47,690",35.6,"3,760",2.8,"130,166",100.0,"44,960",34.5,"38,380",29.5,"2,481",1.9,"38,933",29.9,"5,412",4.2
PUMA2010,4110,"179,263",100.0,"64,516",36.0,"86,272",48.1,"3,932",2.2,"19,321",10.8,"5,222",2.9,"170,331",100.0,"58,967",34.6,"93,532",54.9,"2,373",1.4,"13,081",7.7,"2,378",1.4,"167,078",100.0,"46,925",28.1,"104,004",62.2,"1,682",1.0,"10,508",6.3,"3,959",2.4
PUMA2010,4111,"151,876",100.0,"63,532",41.8,"22,986",15.1,"10,158",6.7,"38,163",25.1,"17,037",11.2,"143,047",100.0,"58,620",41.0,"28,439",19.9,"11,933",8.3,"30,745",21.5,"13,310",9.3,"141,053",100.0,"50,524",35.8,"40,288",28.6,"9,670",6.9,"22,721",16.1,"17,850",12.7
PUMA2010,4112,"251,096",100.0,"45,184",18.0,"4,487",1.8,"135,797",54.1,"37,961",15.1,"27,667",11.0,"221,519",100.0,"38,069",17.2,"3,740",1.7,"145,326",65.6,"19,483",8.8,"14,901",6.7,"218,993",100.0,"29,817",13.6,"4,673",2.1,"159,126",72.7,"10,254",4.7,"15,123",6.9
PUMA2010,4113,"130,378",100.0,"30,678",23.5,"25,767",19.8,"18,037",13.8,"28,477",21.8,"27,419",21.0,"123,402",100.0,"28,456",23.1,"31,793",25.8,"21,078",17.1,"22,757",18.4,"19,318",15.7,"128,079",100.0,"26,573",20.7,"43,151",33.7,"21,297",16.6,"16,418",12.8,"20,640",16.1
PUMA2010,4114,"124,185",100.0,"28,593",23.0,"40,189",32.4,"44,872",36.1,"3,553",2.9,"6,978",5.6,"114,978",100.0,"24,102",21.0,"40,459",35.2,"44,663",38.8,"2,555",2.2,"3,199",2.8,"106,738",100.0,"18,841",17.7,"39,822",37.3,"42,677",40.0,"1,690",1.6,"3,708",3.5
