bc,description,use,tc,model
C7,OVER SIX FAMILIES WITH STORES,A02C,2C,931
C8,WALK UP CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2,90
C8,WALK UP CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2A,90
C8,WALK UP CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2B,90
C8,WALK UP CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2C,90
C8,WALK UP CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2,92
C8,WALK UP CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2A,92
C8,WALK UP CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2B,92
C8,WALK UP CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2C,92
C8,WALK UP CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2,921
C8,WALK UP CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2A,921
C8,WALK UP CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2B,921
C8,WALK UP CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2C,921
C9,GARDEN APARTMENT,A05C,2,93
C9,GARDEN APARTMENT,A05C,2A,93
C9,GARDEN APARTMENT,A05C,2B,93
C9,GARDEN APARTMENT,A05C,2C,93
C9,GARDEN APARTMENT,A05C,2,931
C9,GARDEN APARTMENT,A05C,2A,931
C9,GARDEN APARTMENT,A05C,2B,931
C9,GARDEN APARTMENT,A05C,2C,931
CM,MOBILE HOME PARK,Z09C,2,93
CM,MOBILE HOME PARK,Z09C,2A,93
CM,MOBILE HOME PARK,Z09C,2B,93
CM,MOBILE HOME PARK,Z09C,2C,93
CM,MOBILE HOME PARK,Z09C,2,931
CM,MOBILE HOME PARK,Z09C,2A,931
CM,MOBILE HOME PARK,Z09C,2B,931
CM,MOBILE HOME PARK,Z09C,2C,931
D0,ELEV. CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2,90
D0,ELEV. CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2A,90
D0,ELEV. CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2B,90
D0,ELEV. CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2C,90
D0,ELEV. CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2,92
D0,ELEV. CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2A,92
D0,ELEV. CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2B,92
D0,ELEV. CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2C,92
D0,ELEV. CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2,921
D0,ELEV. CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2A,921
D0,ELEV. CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2B,921
D0,ELEV. CO-OP; CONV. FROM LOFT/WAREHOUSE,A07C,2C,921
D1,ELEVATOR APT; SEMI-FIREPROOF w/o STORES,A01C,2,93
D1,ELEVATOR APT; SEMI-FIREPROOF w/o STORES,A01C,2A,93
D1,ELEVATOR APT; SEMI-FIREPROOF w/o STORES,A01C,2B,93
D1,ELEVATOR APT; SEMI-FIREPROOF w/o STORES,A01C,2C,93
D1,ELEVATOR APT; SEMI-FIREPROOF w/o STORES,A01C,2,931
D1,ELEVATOR APT; SEMI-FIREPROOF w/o STORES,A01C,2A,931
D1,ELEVATOR APT; SEMI-FIREPROOF w/o STORES,A01C,2B,931
D1,ELEVATOR APT; SEMI-FIREPROOF w/o STORES,A01C,2C,931
D2,ELEVATOR APT; ARTIST IN RESIDENCE,A07C,2,93
D2,ELEVATOR APT; ARTIST IN RESIDENCE,A07C,2A,93
D2,ELEVATOR APT; ARTIST IN RESIDENCE,A07C,2B,93
D2,ELEVATOR APT; ARTIST IN RESIDENCE,A07C,2C,93
D2,ELEVATOR APT; ARTIST IN RESIDENCE,A07C,2,931
D2,ELEVATOR APT; ARTIST IN RESIDENCE,A07C,2A,931
D2,ELEVATOR APT; ARTIST IN RESIDENCE,A07C,2B,931
D2,ELEVATOR APT; ARTIST IN RESIDENCE,A07C,2C,931
D3,ELEVATOR APT; FIREPROOF WITHOUT STORES,A01C,2,93
D3,ELEVATOR APT; FIREPROOF WITHOUT STORES,A01C,2A,93
D3,ELEVATOR APT; FIREPROOF WITHOUT STORES,A01C,2B,93
D3,ELEVATOR APT; FIREPROOF WITHOUT STORES,A01C,2C,93
D3,ELEVATOR APT; FIREPROOF WITHOUT STORES,A01C,2,931
D3,ELEVATOR APT; FIREPROOF WITHOUT STORES,A01C,2A,931
D3,ELEVATOR APT; FIREPROOF WITHOUT STORES,A01C,2B,931
D3,ELEVATOR APT; FIREPROOF WITHOUT STORES,A01C,2C,931
D4,ELEVATOR COOPERATIVE,A01C,2,90
D4,ELEVATOR COOPERATIVE,A01C,2A,90
D4,ELEVATOR COOPERATIVE,A01C,2B,90
D4,ELEVATOR COOPERATIVE,A01C,2C,90
D4,ELEVATOR COOPERATIVE,A01C,2,92
D4,ELEVATOR COOPERATIVE,A01C,2A,92
D4,ELEVATOR COOPERATIVE,A01C,2B,92
D4,ELEVATOR COOPERATIVE,A01C,2C,92
D4,ELEVATOR COOPERATIVE,A01C,2,921
D4,ELEVATOR COOPERATIVE,A01C,2A,921
D4,ELEVATOR COOPERATIVE,A01C,2B,921
D4,ELEVATOR COOPERATIVE,A01C,2C,921
D5,ELEVATOR APT; CONVERTED,A01C,2,93
D5,ELEVATOR APT; CONVERTED,A01C,2A,93
D5,ELEVATOR APT; CONVERTED,A01C,2B,93
D5,ELEVATOR APT; CONVERTED,A01C,2C,93
D5,ELEVATOR APT; CONVERTED,A01C,2,931
D5,ELEVATOR APT; CONVERTED,A01C,2A,931
D5,ELEVATOR APT; CONVERTED,A01C,2B,931
D5,ELEVATOR APT; CONVERTED,A01C,2C,931
D6,ELEVATOR APT; FIREPROOF WITH STORES,A01C,2,93
D6,ELEVATOR APT; FIREPROOF WITH STORES,A01C,2A,93
D6,ELEVATOR APT; FIREPROOF WITH STORES,A01C,2B,93
D6,ELEVATOR APT; FIREPROOF WITH STORES,A01C,2C,93
D6,ELEVATOR APT; FIREPROOF WITH STORES,A01C,2,931
D6,ELEVATOR APT; FIREPROOF WITH STORES,A01C,2A,931
D6,ELEVATOR APT; FIREPROOF WITH STORES,A01C,2B,931
D6,ELEVATOR APT; FIREPROOF WITH STORES,A01C,2C,931
D7,ELEVATOR APT; SEMI-FIREPROOF WITH STORES,A01C,2,93
D7,ELEVATOR APT; SEMI-FIREPROOF WITH STORES,A01C,2A,93
D7,ELEVATOR APT; SEMI-FIREPROOF WITH STORES,A01C,2B,93
D7,ELEVATOR APT; SEMI-FIREPROOF WITH STORES,A01C,2C,93
D7,ELEVATOR APT; SEMI-FIREPROOF WITH STORES,A01C,2,931
D7,ELEVATOR APT; SEMI-FIREPROOF WITH STORES,A01C,2A,931
D7,ELEVATOR APT; SEMI-FIREPROOF WITH STORES,A01C,2B,931
D7,ELEVATOR APT; SEMI-FIREPROOF WITH STORES,A01C,2C,931
D8,ELEVATOR APT; LUXURY TYPE,A01C,2,93
D8,ELEVATOR APT; LUXURY TYPE,A01C,2A,93
D8,ELEVATOR APT; LUXURY TYPE,A01C,2B,93
D8,ELEVATOR APT; LUXURY TYPE,A01C,2C,93
D8,ELEVATOR APT; LUXURY TYPE,A01C,2,931
D8,ELEVATOR APT; LUXURY TYPE,A01C,2A,931
D8,ELEVATOR APT; LUXURY TYPE,A01C,2B,931
D8,ELEVATOR APT; LUXURY TYPE,A01C,2C,931
D9,ELEVATOR APT; MISC.,A00C,2,93
D9,ELEVATOR APT; MISC.,A00C,2A,93
D9,ELEVATOR APT; MISC.,A00C,2B,93
D9,ELEVATOR APT; MISC.,A00C,2C,93
D9,ELEVATOR APT; MISC.,A00C,2,931
D9,ELEVATOR APT; MISC.,A00C,2A,931
D9,ELEVATOR APT; MISC.,A00C,2B,931
D9,ELEVATOR APT; MISC.,A00C,2C,931
E1,GENERAL WAREHOUSE,W01C,4,96
E2,CONTRACTOR'S WAREHOUSE,W01C,4,96
E7,SELF STORAGE-WAREHOUSE,W05C,4,396
E9,MISC. WAREHOUSE,W00C,4,96
F1,FACTORY; HEAVY MANUFACTURING - FIREPROOF,F01C,4,96
F2,FACTORY; SPECIAL CONSTRUCTION - FIREPROOF,F00C,4,96
F4,FACTORY; INDUSTRIAL SEMI-FIREPROOF,F01C,4,96
F5,FACTORY; LIGHT MANUFACTURING,F02C,4,96
F8,FACTORY; TANK FARM,W07C,4,96
F9,FACTORY; INDUSTRIAL-MISC.,F00C,4,96
G0,GARAGE; RES. TAX CLASS 1,P04R,1,303
G1,PARKING GARAGES,P00C,4,225
G2,AUTO REPAIR; AUTO BODY,MO7C,4,225
G3,GAS STATION W/ RETAIL,M04C,4,225
G4,GAS STATION W/SERVICE,M03C,4,225
G5,GAS STATION ONLY,M05C,4,225
G6,LICENSED PARKING LOT,P05C,4,225
G7,UNLICENSED PARKING LOT,P05V,4,00
G8,AUTO SALES W/ SHOWROOM OR GARAGE,M01C,4,225
G9,MISC. GARAGE,P00C,4,225
GU,CAR SALES OR RENTAL LOTS w/wo SMALL OFFICE),M02C,4,225
GW,CAR WASH OR LUBRITORIUM FACILITY,M08,4,225
H1,"LUX: SPAS, FINE DINING,, CONCIERGE & GUEST SERVICES",L01C,4,394
H2,"FULL SERVICE: IN HOUSE DINING, FITNESS CENTER",L01C,4,394
H3,"LTD SERVICE & AMENITIES, ECONOMICAL, MANY ASSOC. W/FRANCHISE ",L02C,4,394
H4,"MOTEL: NEAR HWYs, OPEN WALKWAYS, MIN. AMENITIES",L03C,4,394
H5,"PRIVATE CLUB, LUXURY TYPE",L01C,4,394
H6,APARTMENT HOTEL,L05C,4,394
H7,APARTMENT HOTEL - COOPERATIVELY OWNED,L05C,4,394
H8,DORMITORIES,L04C,4,394
H9,MISC. Hotel,L00C,4,394
HB,BOUTIQUE: 10-100 ROOMS W/LUX FULL SVC AMENITIES,L01C,4,394
HH,"HOSTELS: BED ONLY, DORM.-LIKE  W/SHARED LIVING AREA",L00C,4,394
HR,SRO: 1-2 PEOPLE INDIVIDUAL RMS MULT. DWELLING AFFORD. HOUSING,L00C,4,394
HS,EXTENDED STAY/SUITE: AMENITIES SIMILAR,L01C,4,394
I1,"HOSPITAL, SANITARIUM, MENTAL INSTITUTION",H01C,4,304
I2,INFIRMARY,H02C,4,304
I3,DISPENSARY,H02C,4,304
I4,STAFF FACILITIES,L04C,4,304
I5,"HEALTH CENTER, CHILD CENTER, CLINIC",H02C,4,304
I6,NURSING HOMES,H04C,4,304
I7,ADULT CARE FACILITIES,H04C,4,304
I9,"MISC. HOSPITAL, HEALTH CARE FACILITY",H00C,4,304
J1,THEATRE; ART TYPE LESS THAN 400 SEATS,C01C,4,305
J2,THEATRE; ART TYPE MORE THAN 400 SEATS,C01C,4,305
J3,MOTION PICTURE THEATRE WITH BALCONY,C02C,4,305
J4,"LEGITIMATE THEATRE, SOLE USE",C01C,4,305
J5,THEATRE IN MIXED-USE BUILDING,C01C,4,305
J6,TELEVISION STUDIO,C06C,4,305
J7,OFF BROADWAY TYPE THEATRE,C01C,4,305
J8,MULTIPLEX PICTURE THEATRE,C03C,4,305
J9,MISC. THEATRE,C00C,4,305
K1,ONE STORY RETAIL,R09C,4,215
K2,MULTI-STORY RETAIL,R05C,4,215
K3,DEPARTMENT STORE,R04C,4,215
K4,RETAIL W/ OTHER USES,R10C,4,215
K5,STANDALONE FOOD ESTABLISHMENTS,D00C,4,215
K6,SHOPPING CENTER,R01C,4,215
K7,BANK FACILITIES,B05C,4,215
K8,BIG BOX RETAIL,R05C,4,215
K9,MISC. RETAIL,R00C,4,215
M1,"CHURCH, SYNAGOGUE, CHAPEL, MOSQUE",E01C,4,306
M2,MISSION HOUSE (NON-RES.),E01C,4,306
M3,"PARSONAGE, RECTORY",E02C,4,306
M4,CONVENT,E03C,4,306
M9,MISC. RELIGIOUS FACILITY,E00C,4,306
N1,ASYLUM ,H03C,4,307
N2,"HOME FOR INDIGENT CHILDREN, AGED, HOMELESS",L02C,4,307
N3,ORPHANAGE,H05C,4,307
N4,DETENTION HOUSE FOR WAYWARD GIRLS,G04C,4,307
N9,"MISC. ASYLUM, HOME",H00C,4,307
O1,"OFFICE ONLY, 1 STORY",B00C,4,95
O2,"OFFICE ONLY, GT 1 STORY, LT 7 STORIES",B02C,4,95
O3,"OFFICE ONLY, GE 7 STORIES , LT 20 STORIES",B06C,4,95
O4,"OFFICE W OR W/O OTHER COMM., GE 20 STORIES",B01C,4,95
O5,"OFFICE WITH OTHER COMM., LT 7 STORIES",B02C,4,95
O6,"OFFICE W/OTHER COMM., GE 7 STORIES, LT 20 STORIES",B06C,4,95
O7,"PROFESSIONAL BUILDINGS, STANDALONE FUNERAL HOMES",B03C,4,95
O8,"OFFICE W/RES. APTS, NO OTHER COMM BUT GARAGE",B01C,4,95
O9,MISC. OFFICE OR OLD STYLE BANK BUILDINGS,B00C/B04C,4,95
P1,CONCERT HALL,C04C,4,308
P2,LODGE ROOM,Z05C,4,308
P3,"YWCA, YMCA, YWHA, YMHA, PAL",S05C,4,308
P4,BEACH CLUB,S04C,4,308
P5,COMMUNITY CENTER,Z05C,4,308
P6,"AMUSEMENT PLACE, BATH HOUSE, BOAT HOUSE",S15C,4,308
P7,MUSEUM,C04C,4,308
P8,LIBRARY,E06C,4,308
P9,MISC. OUTDOOR RECREATIONAL FACILITY,S00C,4,308
Q1,PARK,S11C,4,309
Q2,PLAYGROUND,S12C,4,309
Q3,OUTDOOR POOL,S04C,4,309
Q4,BEACH,S20C,4,309
Q5,GOLF COURSE,S21C,4,309
Q6,"STADIUM, RACE TRACK, BASEBALL FIELD",S00C,4,309
Q7,TENNIS COURT,S01C,4,309
Q8,"MARINA, YACHT CLUB",S19C,4,309
Q9,MISC. OUTDOOR RECREATIONAL FACILITY,S00C,4,309
R0,SPECIAL CONDOMINIUM BILLING LOT,NOTE,2,04
R1,CONDO; RES. UNIT 2-10 UNIT BUILDING,NOTE,2,10
R1,CONDO; RES. UNIT 2-10 UNIT BUILDING,NOTE,2A,10
R1,CONDO; RES. UNIT 2-10 UNIT BUILDING,NOTE,2B,10
R1,CONDO; RES. UNIT 2-10 UNIT BUILDING,NOTE,2C,10
R1,CONDO; RES. UNIT 2-10 UNIT BUILDING,NOTE,2,05
R1,CONDO; RES. UNIT 2-10 UNIT BUILDING,NOTE,2A,05
R1,CONDO; RES. UNIT 2-10 UNIT BUILDING,NOTE,2B,05
R1,CONDO; RES. UNIT 2-10 UNIT BUILDING,NOTE,2C,05
R2,CONDO; RES. UNIT IN WALK-UP BUILDING,NOTE,2,10
R2,CONDO; RES. UNIT IN WALK-UP BUILDING,NOTE,2,05
R2,CONDO; RES. UNIT IN WALK-UP BUILDING,NOTE,2,101
R3,CONDO; RES. UNIT IN 1-3 STORY BUILDING,NOTE,1A,10
R3,CONDO; RES. UNIT IN 1-3 STORY BUILDING,NOTE,1A,14
R4,CONDO; RES. UNIT IN ELEVATOR BUILDING,NOTE,2,10
R4,CONDO; RES. UNIT IN ELEVATOR BUILDING,NOTE,2,05
R4,CONDO; RES. UNIT IN ELEVATOR BUILDING,NOTE,2,101
R5,CONDO;  MISC. COMM. UNIT,NOTE,4,20
R6,CONDO; RES. UNIT OF 1-3 UNIT BLDG-ORIG TC1,NOTE,1C,10
R6,CONDO; RES. UNIT OF 1-3 UNIT BLDG-ORIG TC1,NOTE,1C,14
R7,CONDO; COMM. UNIT OF 1-3 BLDG-ORIG CLASS 1,NOTE,1C,11
R7,CONDO; COMM. UNIT OF 1-3 BLDG-ORIG CLASS 1,NOTE,1C,12
R7,CONDO; COMM. UNIT OF 1-3 BLDG-ORIG CLASS 1,NOTE,1C,112
R7,CONDO; COMM. UNIT OF 1-3 BLDG-ORIG CLASS 1,NOTE,1C,13
R7,CONDO; COMM. UNIT OF 1-3 BLDG-ORIG CLASS 1,NOTE,1C,14
R8,CONDO; COMM. UNIT OF 2-10 UNIT BUILDING,NOTE,2C,11
R8,CONDO; COMM. UNIT OF 2-10 UNIT BUILDING,NOTE,2C,12
R8,CONDO; COMM. UNIT OF 2-10 UNIT BUILDING,NOTE,2C,112
R8,CONDO; COMM. UNIT OF 2-10 UNIT BUILDING,NOTE,2C,13
R8,CONDO; COMM. UNIT OF 2-10 UNIT BUILDING,NOTE,2C,06
R8,CONDO; COMM. UNIT OF 2-10 UNIT BUILDING,NOTE,2C,07
R8,CONDO; COMM. UNIT OF 2-10 UNIT BUILDING,NOTE,2C,08
R9,CO-OP WITHIN A CONDOMINIUM,NOTE,2,10
R9,CO-OP WITHIN A CONDOMINIUM,NOTE,2A,10
R9,CO-OP WITHIN A CONDOMINIUM,NOTE,2B,10
R9,CO-OP WITHIN A CONDOMINIUM,NOTE,2C,10
R9,CO-OP WITHIN A CONDOMINIUM,NOTE,2,05
R9,CO-OP WITHIN A CONDOMINIUM,NOTE,2A,05
R9,CO-OP WITHIN A CONDOMINIUM,NOTE,2B,05
R9,CO-OP WITHIN A CONDOMINIUM,NOTE,2C,05
R9,CO-OP WITHIN A CONDOMINIUM,NOTE,2,101
R9,CO-OP WITHIN A CONDOMINIUM,NOTE,2A,101
R9,CO-OP WITHIN A CONDOMINIUM,NOTE,2B,101
R9,CO-OP WITHIN A CONDOMINIUM,NOTE,2C,101
RA,"CULTURAL, MEDICAL, EDUCATIONAL, ETC",NOTE,4,21
RG,INDOOR PARKING,NOTE,4,15
RG,INDOOR PARKING,NOTE,4,08
RP,OUTDOOR PARKING,NOTE,4,22
RR,CONRENTAL - RES. RENTAL,NOTE,2,10
RR,CONRENTAL - RES. RENTAL,NOTE,2A,10
RR,CONRENTAL - RES. RENTAL,NOTE,2B,10
RR,CONRENTAL - RES. RENTAL,NOTE,2C,10
RR,CONRENTAL - RES. RENTAL,NOTE,2,05
RR,CONRENTAL - RES. RENTAL,NOTE,2A,05
RR,CONRENTAL - RES. RENTAL,NOTE,2B,05
RR,CONRENTAL - RES. RENTAL,NOTE,2C,05
RR,CONRENTAL - RES. RENTAL,NOTE,2,101
RR,CONRENTAL - RES. RENTAL,NOTE,2A,101
RR,CONRENTAL - RES. RENTAL,NOTE,2B,101
RR,CONRENTAL - RES. RENTAL,NOTE,2C,101
RS,NON-BUSINESS STORAGE SPACE,NOTE,4,23
RS,NON-BUSINESS STORAGE SPACE,NOTE,4,08
RW,WAREHOUSE/ FACTORY/ INDUSTRIAL,NOTE,4,13
RW,WAREHOUSE/ FACTORY/ INDUSTRIAL,NOTE,4,08
RH,HOTEL/BOATEL,NOTE,4,394
RK,RETAIL SPACE,NOTE,4,11
RK,RETAIL SPACE,NOTE,4,06
RB,OFFICE SPACE,NOTE,4,12
RB,OFFICE SPACE,NOTE,4,07
RT,TERRACES/ GARDENS/ CABANAS,NOTE,4,24
RT,TERRACES/ GARDENS/ CABANAS,NOTE,4,05
S0,PRIMARILY 1 FAMILY WITH 2 STORES OR OFFICES,R10R,1,81
S0,PRIMARILY 1 FAMILY WITH 2 STORES OR OFFICES,R10R,1,91
S1,PRIMARILY 1 FAMILY WITH 1 STORE OR OFFICE,R10R,1,81
S1,PRIMARILY 1 FAMILY WITH 1 STORE OR OFFICE,R10R,1,91
S2,PRIMARILY 2 FAMILY WITH 1 STORE OR OFFICE,R10R,1,81
S2,PRIMARILY 2 FAMILY WITH 1 STORE OR OFFICE,R10R,1,91
S3,PRIMARILY 3 FAMILY WITH 1 STORE OR OFFICE,R10C,2,91
S3,PRIMARILY 3 FAMILY WITH 1 STORE OR OFFICE,R10C,2A,91
S3,PRIMARILY 3 FAMILY WITH 1 STORE OR OFFICE,R10C,2B,91
S3,PRIMARILY 3 FAMILY WITH 1 STORE OR OFFICE,R10C,2C,91
S4,PRIMARILY 4 FAMILY WITH 1 STORE OR OFFICE,R10C,2,91
S4,PRIMARILY 4 FAMILY WITH 1 STORE OR OFFICE,R10C,2A,91
S4,PRIMARILY 4 FAMILY WITH 1 STORE OR OFFICE,R10C,2B,91
S4,PRIMARILY 4 FAMILY WITH 1 STORE OR OFFICE,R10C,2C,91
S5,PRIMARILY 5-6 FAMILY WITH 1 STORE OR OFFICE,R10C,2,91
S5,PRIMARILY 5-6 FAMILY WITH 1 STORE OR OFFICE,R10C,2A,91
S5,PRIMARILY 5-6 FAMILY WITH 1 STORE OR OFFICE,R10C,2B,91
S5,PRIMARILY 5-6 FAMILY WITH 1 STORE OR OFFICE,R10C,2C,91
S9,SINGLE OR MULT. DWELLING W STORES/OFFICES,R10C,2,91
S9,SINGLE OR MULT. DWELLING W STORES/OFFICES,R10C,2A,91
S9,SINGLE OR MULT. DWELLING W STORES/OFFICES,R10C,2B,91
S9,SINGLE OR MULT. DWELLING W STORES/OFFICES,R10C,2C,91
T1,"AIRPORT, AIRFIELD, TERMINAL",T04C,4,310
T2,"PIER, DOCK, BULKHEAD",W08C,4,310
T9,MISC. TRANSPORTATION FACILITY,T00C,4,310
U0,UTILITY COMPANY LAND AND BUILDING,,4,94
U1,"BRIDGE, TUNNEL, HIGHWAY",,3,94
U2,GAS OR ELECTRIC UTILITY,,3,94
U3,CEILING RAILROAD,,4A,94
U4,TELEPHONE UTILITY,,3,94
U5,COMMUNICATION FACILITY NOT TELEPHONE,,3,94
U6,RAILROAD - PRIVATE OWNERSHIP,,3,94
U7,TRANSPORTATION - PUBLIC OWNERSHIP,,3,94
U8,REVOCABLE CONSENT,,3,94
U9,MISC. UTILITY PROPERTY,,3,94
V0,ZONED RES.; NOT MANHATTAN ,Z01V,1B,00
V1,ZONED COMM.,Z01V,4,00
V2,ZONED COMM. ADJACENT TO CLASS 1 DWELLING,Z01V,1B,00
V3,ZONED PRIMARILY RES.; NOT MANHATTAN,Z01V,1B,00
V4,POLICE OR FIRE DEPARTMENT,Z01V,4,00
V5,SCHOOL SITE OR YARD,Z01V,4,00
V6,"LIBRARY, HOSPITAL OR MUSEUM",Z01V,4,00
V7,PORT AUTHORITY OF NEW YORK AND NEW JERSEY,Z01V,4,00
V8,NEW YORK STATE OR US GOVERNMENT,Z01V,4,00
V9,MISC. VACANT LAND,Z01V,4,00
W1,"PUBLIC ELEMENTARY, JUNIOR OR SENIOR HIGH",E04C,4,311
W2,"PAROCHIAL SCHOOL, YESHIVA",E04C,4,311
W3,SCHOOL OR ACADEMY,E04C,4,311
W4,TRAINING SCHOOL/ TRADE SCHOOL,E07C,4,311
W5,CITY UNIVERSITY,E05C,4,311
W6,OTHER COLLEGE AND UNIVERSITY,E05C,4,311
