source,cleaned
TRANSL HSG - ADULT,TRANSITIONAL HOUSING - ADULT
VOCATION HIGH SCHOOL,VOCATIONAL HIGH SCHOOL
WATER POLL CNTRL PLT,WATER POLLUTION CONTROL PLANT
OUTDOOR STRG-EQUIP,OUTDOOR STORAGE - EQUIPMENT
OUTDOOR PKNG-CLIENTS,OUTDOOR PARKING - CLIENTS
OTHER HEALTH FACILTY,OTHER HEALTH FACILITY
RECREATION CTR/GYM,RECREATION CENTER/GYMNASIUM
OTH WATER SUPPLY FAC,OTHER WATER SUPPLY FACILITY
OFC LEASED BY EDUC,OFFICE LEASED BY EDUC
INDOOR STORAGE-EQUIP,INDOOR STORAGE - EQUIPMENT
SECTION STATION,SANITATION SECTION STATION
FACILITIES MAINT,FACILITIES MAINTENANCE
OUTDOOR MAINT/STORGE,OUTDOOR MAINTENANCE/STORAGE FACILITY
OTHER COLLEGE/UNIV,OTHER COLLEGE/UNIVERSITY
OUTDOOR STORAGE-BULK,OUTDOOR STORAGE - BULK MATERIAL
ALTERNTV HIGH SCHOOL,ALTERNATIVE HIGH SCHOOL
OTHR SPC REC-OUTDOOR,OTHER SPECIAL RECREATIONAL FACILITY - OUTDOOR
SOLID WASTE TSFR STN,SOLID WASTE TRANSFER STATION
SPECIAL REC-OUTDOOR,SPECIAL RECREATIONAL FACILITY - OUTDOOR
MUNICIPL PKNG-INDR,MUNICIPAL PARKING - INDOOR PUBLIC
WATER SUPPLY FACIL,WATER SUPPLY FACILITY
NEIGHBORHD SIT AREA,NEIGHBORHOOD SITTING AREA
SPEC RECREATN-INDOOR,SPECIAL RECREATIONAL FACILITY - INDOOR
SLUDGE DE-WATERING,SLUDGE DE-WATERING FACILITY
PUB SAFETY FACILITY,PUBLIC SAFETY FACILITY
OTH OUTDOOR STORAGE,OTHER OUTDOOR STORAGE
TRANS/PUBLIC PARKING,TRANSPORTATION/PUBLIC PARKING FACILITY
INDOOR STRG-PRINTED,INDOOR STORAGE - PRINTED MATERIAL/SUPPLIES
EDUC SKILLS CENTER,EDUCATIONAL SKILLS CENTER
OTHER POLL CNTRL FAC,OTHER POLLUTION CONTROL FACILITY
OTH DETENTION FACIL,OTHER DETENTION FACILITY
OTH OUTDR MAINT/STG,OTHER OUTDOOR MAINTENANCE/STORAGE FACILITY
TRANSL HSG - MEN,TRANSITIONAL HOUSING - ADULT MEN
NON-RES SOC SERV FAC,NON-RESIDENTIAL SOCIAL SERVICE FACILITY
O/D STRG-AGY VEHICLE,OUTDOOR STORAGE - AGENCY VEHICLES
INDOOR STRG-SUPPLIES,INDOOR STORAGE - SUPPLIES
OTHER REC FACILITY,OTHER RECREATIONAL FACILITY
OTH INDOOR MAINT/STG,OTHER INDOOR MAINTENANCE/STORAGE FACILITY
INDOOR STORAGE-BULK,INDOOR STORAGE - BULK MATERIAL
RES HEALTH CARE FAC,RESIDENTIAL HEALTH CARE FACILITY
OTH SECURE DETENTION,OTHER SECURE DETENTION FACILITY
SOCIAL SERVICE FACIL,SOCIAL SERVICE FACILITY
TRAIN FACIL-OUTDOOR,TRAINING FACILITY - OUTDOOR
TRAIN FAC-INDOOR,TRAINING FACILITY - INDOOR
TRANSL HSG - WOMEN,TRANSITIONAL HOUSING - ADULT WOMEN
STORMWATER PUMPING,STORMWATER PUMPING STATION
RES FACIL - CHILDREN,RESIDENTIAL FACILITY FOR CHILDREN
OTHER TESTING FACIL,OTHER TESTING FACILITY
OTH WATER TRANS FAC,OTHER WATERFRONT TRANSPORTATION FACILITY
CRIMINAL JUSTICE FAC,CRIMINAL JUSTICE FACILITY
OTH SOLID WASTE FAC,OTHER SOLID WASTE FACILITY
OUTDOOR TOW POUND,OUTDOOR PARKING - TOW POUND
OTHER SPC REC-INDOOR,OTHER SPECIAL RECREATIONAL FACILITY - INDOOR
