CenBlock10,CenTract10,NTA10,PUMA10,CenUnits10
360050019005001,36005001900,BX39,3710,0
360050020001000,36005002000,BX09,3709,26
360050020001001,36005002000,BX09,3709,0
360050020001002,36005002000,BX09,3709,100
360050020001003,36005002000,BX09,3709,134
360050020001004,36005002000,BX09,3709,116
360050020001005,36005002000,BX09,3709,16
360050020002000,36005002000,BX09,3709,104
360050020002001,36005002000,BX09,3709,66
360050020002002,36005002000,BX09,3709,102
360050020002003,36005002000,BX09,3709,470
360050020003000,36005002000,BX09,3709,131
360050020003001,36005002000,BX09,3709,2
360050020003002,36005002000,BX09,3709,772
360050020004000,36005002000,BX09,3709,490
360050020005000,36005002000,BX09,3709,270
360050020006000,36005002000,BX09,3709,77
360050020006001,36005002000,BX09,3709,124
360050020006002,36005002000,BX09,3709,135
360050023001000,36005002300,BX39,3710,172
360050023001001,36005002300,BX39,3710,155
360050023001002,36005002300,BX39,3710,171
360050023001003,36005002300,BX39,3710,168
360050023001004,36005002300,BX39,3710,173
360050023001005,36005002300,BX39,3710,173
360050023001006,36005002300,BX39,3710,0
360050023002000,36005002300,BX39,3710,183
360050023003000,36005002300,BX39,3710,408
360050023003001,36005002300,BX39,3710,180
360050024000001,36005002400,BX99,3709,0
360050024000002,36005002400,BX99,3709,0
360050024001000,36005002400,BX99,3709,0
360050024001001,36005002400,BX99,3709,0
360050024001002,36005002400,BX99,3709,0
360050024001003,36005002400,BX99,3709,0
360050024001004,36005002400,BX99,3709,0
360050024001005,36005002400,BX99,3709,0
360050024001006,36005002400,BX99,3709,0
360050024001007,36005002400,BX99,3709,0
360050024001008,36005002400,BX99,3709,3
360050025001000,36005002500,BX39,3710,296
360050025001001,36005002500,BX39,3710,54
360050025002000,36005002500,BX39,3710,566
360050025003000,36005002500,BX39,3710,460
360050025004000,36005002500,BX39,3710,319
360050025005000,36005002500,BX39,3710,134
360050025005001,36005002500,BX39,3710,32
360050025005002,36005002500,BX39,3710,138
360050027011000,36005002701,BX39,3710,0
360050027011001,36005002701,BX39,3710,547
360050027011002,36005002701,BX39,3710,40
360050027012000,36005002701,BX39,3710,221
360050027012001,36005002701,BX39,3710,267
360050027021000,36005002702,BX39,3710,0
360050027021001,36005002702,BX39,3710,0
360050027021002,36005002702,BX39,3710,258
360050027021003,36005002702,BX39,3710,133
360050027021004,36005002702,BX39,3710,0
360050027022000,36005002702,BX39,3710,0
360050027022001,36005002702,BX39,3710,8
360050027022002,36005002702,BX39,3710,165
360050027022003,36005002702,BX39,3710,0
360050027023000,36005002702,BX39,3710,305
360050027023001,36005002702,BX39,3710,176
360050027024000,36005002702,BX39,3710,337
360050028000001,36005002800,BX09,3709,0
360050028001000,36005002800,BX09,3709,0
360050028001001,36005002800,BX09,3709,0
360050028001002,36005002800,BX09,3709,0
360050028001003,36005002800,BX09,3709,0
360050028001004,36005002800,BX09,3709,0
360050028001005,36005002800,BX09,3709,0
360050028001006,36005002800,BX09,3709,0
360050028001007,36005002800,BX09,3709,47
360050028001008,36005002800,BX09,3709,0
360050028001009,36005002800,BX09,3709,126
360050028001010,36005002800,BX09,3709,224
360050028001011,36005002800,BX09,3709,143
360050028001012,36005002800,BX09,3709,0
360050028001013,36005002800,BX09,3709,0
360050028001014,36005002800,BX09,3709,0
360050028001015,36005002800,BX09,3709,0
360050028001016,36005002800,BX09,3709,0
360050028001017,36005002800,BX09,3709,0
360050028001018,36005002800,BX09,3709,0
360050028002000,36005002800,BX09,3709,451
360050028002001,36005002800,BX09,3709,1
360050028002002,36005002800,BX09,3709,447
360050028003000,36005002800,BX09,3709,242
360050028003001,36005002800,BX09,3709,243
360050028004000,36005002800,BX09,3709,0
360050028004001,36005002800,BX09,3709,482
360050031001000,36005003100,BX39,3710,0
360050031001001,36005003100,BX39,3710,294
360050031001002,36005003100,BX39,3710,0
360050031001003,36005003100,BX39,3710,206
360050031001004,36005003100,BX39,3710,0
360050031001005,36005003100,BX39,3710,12
360050031001006,36005003100,BX39,3710,0
360050031001007,36005003100,BX39,3710,17
360050031001008,36005003100,BX39,3710,22
360050031001009,36005003100,BX39,3710,0
360050031001010,36005003100,BX39,3710,0
360050033001000,36005003300,BX39,3710,23
360050033001001,36005003300,BX39,3710,0
360050033001002,36005003300,BX39,3710,42
360050033001003,36005003300,BX39,3710,33
360050033001004,36005003300,BX39,3710,59
360050033001005,36005003300,BX39,3710,68
360050033001006,36005003300,BX39,3710,0
360050033002000,36005003300,BX39,3710,93
360050033002001,36005003300,BX39,3710,330
360050033003000,36005003300,BX39,3710,44
360050033003001,36005003300,BX39,3710,264
360050033003002,36005003300,BX39,3710,111
360050033003003,36005003300,BX39,3710,119
360050035001000,36005003500,BX39,3710,0
360050035001001,36005003500,BX39,3710,213
360050035001002,36005003500,BX39,3710,0
360050035001003,36005003500,BX39,3710,51
360050035001004,36005003500,BX39,3710,16
360050035001005,36005003500,BX39,3710,22
360050035001006,36005003500,BX39,3710,0
360050035001007,36005003500,BX39,3710,0
360050035001008,36005003500,BX39,3710,42
360050035002000,36005003500,BX39,3710,532
360050035003000,36005003500,BX39,3710,143
