OBJECTID,boro,nta2020,ntaname20
101,Bronx,BX1101,Pelham Parkway-Van Nest
102,Bronx,BX1102,Morris Park
103,Bronx,BX1103,Pelham Gardens
104,Bronx,BX1104,Allerton
105,Bronx,BX1161,Hutchinson Metro Center
106,Bronx,BX1201,Williamsbridge-Olinville
107,Bronx,BX1202,Eastchester-Edenwald-Baychester
108,Bronx,BX1203,Wakefield-Woodlawn
109,Bronx,BX1271,Woodlawn Cemetery
110,Bronx,BX2691,Van Cortlandt Park
111,Bronx,BX2791,Bronx Park
112,Bronx,BX2891,Pelham Bay Park
113,Manhattan,MN0101,Financial District-Battery Park City
114,Manhattan,MN0102,Tribeca-Civic Center
115,Manhattan,MN0191,The Battery-Governors Island-Ellis Island-Liberty Island
116,Manhattan,MN0201,SoHo-Little Italy-Hudson Square
117,Manhattan,MN0202,Greenwich Village
118,Manhattan,MN0203,West Village
119,Manhattan,MN0301,Chinatown-Two Bridges
120,Manhattan,MN0302,Lower East Side
121,Manhattan,MN0303,East Village
122,Manhattan,MN0401,Chelsea-Hudson Yards
123,Manhattan,MN0402,Hell's Kitchen
124,Manhattan,MN0501,Midtown South-Flatiron-Union Square
125,Manhattan,MN0502,Midtown-Times Square
126,Manhattan,MN0601,Stuyvesant Town-Peter Cooper Village
127,Manhattan,MN0602,Gramercy
128,Manhattan,MN0603,Murray Hill-Kips Bay
129,Manhattan,MN0604,East Midtown-Turtle Bay
130,Manhattan,MN0701,Upper West Side-Lincoln Square
131,Manhattan,MN0702,Upper West Side (Central)
132,Manhattan,MN0703,Upper West Side-Manhattan Valley
133,Manhattan,MN0801,Upper East Side-Lenox Hill-Roosevelt Island
134,Manhattan,MN0802,Upper East Side-Carnegie Hill
135,Manhattan,MN0803,Upper East Side-Yorkville
136,Manhattan,MN0901,Morningside Heights
137,Manhattan,MN0902,Manhattanville-West Harlem
138,Manhattan,MN0903,Hamilton Heights-Sugar Hill
139,Manhattan,MN1001,Harlem (South)
140,Manhattan,MN1002,Harlem (North)
141,Manhattan,MN1101,East Harlem (South)
142,Manhattan,MN1102,East Harlem (North)
143,Manhattan,MN1191,Randall's Island
144,Manhattan,MN1201,Washington Heights (South)
145,Manhattan,MN1202,Washington Heights (North)
146,Manhattan,MN1203,Inwood
147,Manhattan,MN1291,Highbridge Park
148,Manhattan,MN1292,Inwood Hill Park
149,Manhattan,MN6491,Central Park
150,Queens,QN0101,Astoria (North)-Ditmars-Steinway
151,Queens,QN0102,Old Astoria-Hallets Point
152,Queens,QN0103,Astoria (Central)
153,Queens,QN0104,Astoria (East)-Woodside (North)
154,Queens,QN0105,Queensbridge-Ravenswood-Dutch Kills
155,Bronx,QN0151,Rikers Island
156,Queens,QN0161,Sunnyside Yards (North)
157,Queens,QN0171,St. Michael's Cemetery
158,Queens,QN0191,Astoria Park
159,Queens,QN0201,Long Island City-Hunters Point
160,Queens,QN0202,Sunnyside
161,Queens,QN0203,Woodside
162,Queens,QN0261,Sunnyside Yards (South)
163,Queens,QN0271,Calvary & Mount Zion Cemeteries
164,Queens,QN0301,Jackson Heights
165,Queens,QN0302,East Elmhurst
166,Queens,QN0303,North Corona
167,Queens,QN0401,Elmhurst
168,Queens,QN0402,Corona
169,Queens,QN0501,Maspeth
170,Queens,QN0502,Ridgewood
171,Queens,QN0503,Glendale
172,Queens,QN0504,Middle Village
173,Queens,QN0571,Mount Olivet & All Faiths Cemeteries
174,Queens,QN0572,Middle Village Cemetery
175,Queens,QN0573,St. John Cemetery
176,Queens,QN0574,Highland Park-Cypress Hills Cemeteries (North)
177,Queens,QN0601,Rego Park
178,Queens,QN0602,Forest Hills
179,Queens,QN0701,College Point
180,Queens,QN0702,Whitestone-Beechhurst
181,Queens,QN0703,Bay Terrace-Clearview
182,Queens,QN0704,Murray Hill-Broadway Flushing
183,Queens,QN0705,East Flushing
184,Queens,QN0706,Queensboro Hill
185,Queens,QN0707,Flushing-Willets Point
186,Queens,QN0761,Fort Totten
187,Queens,QN0801,Kew Gardens Hills
188,Queens,QN0802,Pomonok-Electchester-Hillcrest
189,Queens,QN0803,Fresh Meadows-Utopia
190,Queens,QN0804,Jamaica Estates-Holliswood
191,Queens,QN0805,Jamaica Hills-Briarwood
192,Queens,QN0901,Kew Gardens
193,Queens,QN0902,Richmond Hill
194,Queens,QN0903,South Richmond Hill
195,Queens,QN0904,Ozone Park (North)
196,Queens,QN0905,Woodhaven
197,Queens,QN1001,South Ozone Park
198,Queens,QN1002,Ozone Park
199,Queens,QN1003,Howard Beach-Lindenwood
200,Queens,QN1101,Auburndale
201,Queens,QN1102,Bayside
202,Queens,QN1103,Douglaston-Little Neck
203,Queens,QN1104,Oakland Gardens-Hollis Hills
204,Queens,QN1191,Alley Pond Park
205,Queens,QN1201,Jamaica
206,Queens,QN1202,South Jamaica
207,Queens,QN1203,Baisley Park
208,Queens,QN1204,Springfield Gardens (North)-Rochdale Village
209,Queens,QN1205,St. Albans
210,Queens,QN1206,Hollis
211,Queens,QN1301,Glen Oaks-Floral Park-New Hyde Park
212,Queens,QN1302,Bellerose
213,Queens,QN1303,Queens Village
214,Queens,QN1304,Cambria Heights
215,Queens,QN1305,Laurelton
216,Queens,QN1306,Springfield Gardens (South)-Brookville
217,Queens,QN1307,Rosedale
218,Queens,QN1401,Far Rockaway-Bayswater
219,Queens,QN1402,Rockaway Beach-Arverne-Edgemere
220,Queens,QN1403,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
221,Queens,QN1491,Rockaway Community Park
222,Queens,QN8191,Flushing Meadows-Corona Park
223,Queens,QN8381,John F. Kennedy International Airport
224,Queens,QN8491,Jamaica Bay (East)
225,Queens,QN8492,Jacob Riis Park-Fort Tilden-Breezy Point Tip
226,Staten Island,SI0101,St. George-New Brighton
227,Staten Island,SI0102,Tompkinsville-Stapleton-Clifton-Fox Hills
228,Staten Island,SI0103,Rosebank-Shore Acres-Park Hill
229,Staten Island,SI0104,West New Brighton-Silver Lake-Grymes Hill
230,Staten Island,SI0105,Westerleigh-Castleton Corners
231,Staten Island,SI0106,Port Richmond
232,Staten Island,SI0107,Mariner's Harbor-Arlington-Graniteville
233,Staten Island,SI0191,Snug Harbor
234,Staten Island,SI0201,Grasmere-Arrochar-South Beach-Dongan Hills
235,Staten Island,SI0202,New Dorp-Midland Beach
236,Staten Island,SI0203,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
237,Staten Island,SI0204,New Springville-Willowbrook-Bulls Head-Travis
238,Staten Island,SI0291,Freshkills Park (North)
239,Staten Island,SI0301,Oakwood-Richmondtown
240,Staten Island,SI0302,Great Kills-Eltingville
241,Staten Island,SI0303,Arden Heights-Rossville
242,Staten Island,SI0304,Annadale-Huguenot-Prince's Bay-Woodrow
243,Staten Island,SI0305,Tottenville-Charleston
244,Staten Island,SI0391,Freshkills Park (South)
245,Staten Island,SI9592,Miller Field
246,Brooklyn,BK1771,Holy Cross Cemetery
247,Brooklyn,BK5692,Jamaica Bay (West)
248,Brooklyn,BK5693,Shirley Chisholm State Park
249,Bronx,BX0291,North & South Brother Islands
250,Bronx,BX0492,Claremont Park
251,Bronx,BX1071,Hart Island
252,Manhattan,MN0661,United Nations
253,Queens,QN0791,Kissena Park
254,Queens,QN0871,Mount Hebron & Cedar Grove Cemeteries
255,Queens,QN0891,Cunningham Park
256,Queens,QN1091,Spring Creek Park
257,Queens,QN1371,Montefiore Cemetery
258,Queens,QN8081,LaGuardia Airport
259,Queens,QN8291,Forest Park
260,Staten Island,SI9561,Fort Wadsworth
261,Staten Island,SI9591,Hoffman & Swinburne Islands
262,Staten Island,SI9593,Great Kills Park
