OBJECTID,boro,bct2020,centract2020
217,Manhattan,1024700,36061024700
218,Manhattan,1024900,36061024900
219,Manhattan,1025100,36061025100
220,Manhattan,1025300,36061025300
221,Manhattan,1025500,36061025500
222,Manhattan,1025700,36061025700
223,Manhattan,1026100,36061026100
224,Manhattan,1026300,36061026300
225,Manhattan,1026500,36061026500
226,Manhattan,1026700,36061026700
227,Manhattan,1026900,36061026900
228,Manhattan,1027100,36061027100
229,Manhattan,1027300,36061027300
230,Manhattan,1027500,36061027500
231,Manhattan,1028100,36061028100
232,Manhattan,1029100,36061029100
233,Manhattan,1029300,36061029300
234,Manhattan,1029500,36061029500
235,Manhattan,1030300,36061030300
236,Manhattan,1030900,36061030900
237,Bronx,2000100,36005000100
238,Bronx,2000200,36005000200
239,Bronx,2001600,36005001600
240,Bronx,2001901,36005001901
241,Bronx,2001902,36005001902
242,Bronx,2002001,36005002001
243,Bronx,2002002,36005002002
244,Bronx,2002300,36005002300
245,Bronx,2002400,36005002400
246,Bronx,2002500,36005002500
247,Bronx,2002701,36005002701
248,Bronx,2002702,36005002702
249,Bronx,2003700,36005003700
250,Bronx,2003800,36005003800
251,Bronx,2003900,36005003900
252,Bronx,2004001,36005004001
253,Bronx,2004100,36005004100
254,Bronx,2004200,36005004200
255,Bronx,2004300,36005004300
256,Bronx,2004400,36005004400
257,Bronx,2004600,36005004600
258,Bronx,2004800,36005004800
259,Bronx,2005001,36005005001
260,Bronx,2005002,36005005002
261,Bronx,2005400,36005005400
262,Bronx,2005600,36005005600
263,Bronx,2005902,36005005902
264,Bronx,2006100,36005006100
265,Bronx,2006200,36005006200
266,Bronx,2006302,36005006302
267,Bronx,2006400,36005006400
268,Bronx,2006500,36005006500
269,Bronx,2006700,36005006700
270,Bronx,2006800,36005006800
271,Bronx,2006900,36005006900
272,Bronx,2007000,36005007000
273,Bronx,2007100,36005007100
274,Bronx,2007200,36005007200
275,Bronx,2007300,36005007300
276,Bronx,2007400,36005007400
277,Bronx,2007500,36005007500
278,Bronx,2007600,36005007600
279,Bronx,2007700,36005007700
280,Bronx,2007800,36005007800
281,Bronx,2007900,36005007900
282,Bronx,2008300,36005008300
283,Bronx,2008400,36005008400
284,Bronx,2008500,36005008500
285,Bronx,2008600,36005008600
286,Bronx,2008700,36005008700
287,Bronx,2009200,36005009200
288,Bronx,2009600,36005009600
289,Bronx,2009800,36005009800
290,Bronx,2011000,36005011000
291,Bronx,2011701,36005011701
292,Bronx,2011702,36005011702
293,Bronx,2011800,36005011800
294,Bronx,2011900,36005011900
295,Bronx,2012101,36005012101
296,Bronx,2012102,36005012102
297,Bronx,2012500,36005012500
298,Bronx,2012901,36005012901
299,Bronx,2013000,36005013000
300,Bronx,2013100,36005013100
301,Bronx,2013200,36005013200
302,Bronx,2013300,36005013300
303,Bronx,2013500,36005013500
304,Bronx,2013800,36005013800
305,Bronx,2014100,36005014100
306,Bronx,2014400,36005014400
307,Bronx,2014900,36005014900
308,Bronx,2015100,36005015100
309,Bronx,2015200,36005015200
310,Bronx,2015300,36005015300
311,Bronx,2015500,36005015500
312,Bronx,2015700,36005015700
313,Bronx,2015800,36005015800
314,Bronx,2016000,36005016000
315,Bronx,2016100,36005016100
316,Bronx,2016200,36005016200
317,Bronx,2016300,36005016300
318,Bronx,2016400,36005016400
319,Bronx,2016500,36005016500
320,Bronx,2016600,36005016600
321,Bronx,2017300,36005017300
322,Bronx,2017500,36005017500
323,Bronx,2017701,36005017701
324,Bronx,2017702,36005017702
325,Bronx,2017901,36005017901
326,Bronx,2017902,36005017902
327,Bronx,2018101,36005018101
328,Bronx,2018102,36005018102
329,Bronx,2018301,36005018301
330,Bronx,2018302,36005018302
331,Bronx,2018400,36005018400
332,Bronx,2018502,36005018502
333,Bronx,2018900,36005018900
334,Bronx,2019400,36005019400
335,Bronx,2019500,36005019500
336,Bronx,2019700,36005019700
337,Bronx,2019900,36005019900
338,Bronx,2020200,36005020200
339,Bronx,2020400,36005020400
340,Bronx,2020601,36005020601
341,Bronx,2020900,36005020900
342,Bronx,2021001,36005021001
343,Bronx,2021002,36005021002
344,Bronx,2021100,36005021100
345,Bronx,2021301,36005021301
346,Bronx,2021302,36005021302
347,Bronx,2021501,36005021501
348,Bronx,2021502,36005021502
349,Bronx,2021601,36005021601
350,Bronx,2021602,36005021602
351,Bronx,2021700,36005021700
352,Bronx,2021800,36005021800
353,Bronx,2021900,36005021900
354,Bronx,2022000,36005022000
355,Bronx,2022101,36005022101
356,Bronx,2022102,36005022102
357,Bronx,2022300,36005022300
358,Bronx,2022401,36005022401
359,Bronx,2022403,36005022403
360,Bronx,2022404,36005022404
361,Bronx,2022500,36005022500
362,Bronx,2022701,36005022701
363,Bronx,2022702,36005022702
364,Bronx,2022703,36005022703
365,Bronx,2022800,36005022800
366,Bronx,2022901,36005022901
367,Bronx,2022902,36005022902
