factype,rectype
CONSTRUCTION AND DEMOLITION PROCESSING,program
MEDICALLY SUPERVISED OUTPATIENT-OASAS,facility
TRAIN & EARN,program
INDOOR MAINTENANCE/STORAGE FACILITY,facility
SPECIAL DEMO - CITY COUNCIL-OASAS,program
"SUPPORTED HOUSING-OMH, SUPPORTED SRO-OMH, NON-MEDICAID CARE COORDINATION (OMH)-OMH",program
SECONDARY SCHOOL - CHARTER,facility
ADVANCE & EARN,program
INDOOR STORAGE (WAREHOUSE),facility
TRANSIT YARD,facility
TRANSPORTATION,facility
ALTERNATIVE TO INCARCERATION,facility
ELEMENTARY SCHOOL - CHARTER,facility
UNSPECIFIED DISCIPLINE,program
NYCHA COMMUNITY CENTER - NEIGHBORHOOD ADMINISTRATORS,facility
POLLUTION CONTROL FACILITY,facility
NYCHA COMMUNITY CENTER - COMPASS,facility
NYCHA COMMUNITY CENTER - COMMUNITY CENTER / SPORTS,facility
FIELD OFFICE-PUBLIC,facility
RMW,program
CDDHRF,program
HOME CARE SERVICES,program
"SUPPORTED HOUSING-OMH, NON-MEDICAID CARE COORDINATION (OMH)-OMH",program
NYCHA COMMUNITY CENTER - SCHOOL,facility
IMMIGRANT SERVICES,program
LIRR MAINTENANCE AND OTHER FACILITY,facility
FAMILY SUPPORT SERVICES-OMH,program
"MEDICALLY SUPERVISED OUTPATIENT-OASAS, PRIMARY PREVENTION SERVICES-OASAS",program
ARCHITECTURE/DESIGN,program
NYC BUSINESS SOLUTIONS INDUSTRIAL AND TRANSPORTATION,facility
TRANSIT SUBSTATION,facility
MANAGED SITES,facility
COMMUNITY BASED PROGRAMS,program
HATE CRIMES PREVENTION,program
JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - CHARTER,facility
REGISTERED ESL SCHOOLS,facility
"UNGRADED SCHOOL - CHARTER, SPECIAL EDUCATION",facility
NYCHA COMMUNITY CENTER - COMMUNITY CENTER/ HEALTH CLINIC,facility
NYC BUSINESS SOLUTIONS CENTER,facility
OUTDOOR PARKING - AGENCY VEHICLES,facility
GRADUATE PROGRAMS ONLY,program
CORRECTIONAL FACILITY,facility
COMPASS EXPLORE,program
SUMMER YOUTH EMPLOYMENT PROGRAM (SYEP) (AGES 16-24),program
"MAINTENANCE, MANAGEMENT, AND OPERATIONS",facility
SPECIAL DEMO - CITY COUNCIL-OPWDD-OMH,program
WATERFRONT FACILITY,facility
EDUCATIONAL SERVICES; FAMILY SUPPORT; HOUSING SUPPORT; JOBS AND INTERNSHIPS,program
BOROUGH OFFICE,facility
AMTRAK MAINTENANCE AND OTHER FACILITY,facility
NATURALLY OCCURRING RETIREMENT COMMUNITY (NORC),program
OTHER SCHOOL - NON-PUBLIC,program
SCIENCE,program
SECURE DETENTION FACILITY,facility
OUTDOOR PARKING - EMPLOYEES,facility
HISTORIC HOUSE PARK,facility
SYEP CAREER FIRST,program
BOTANICAL,program
OTHER,program
NYCHA POLICE SERVICE,facility
OPIOID OUTPATIENT TREATMENT,program
SHELTER INTAKE,program
"HOME BASED CRISIS INTERVENTION-OMH, ADVOCACY SERVICES-OMH, NON-MEDICAID CARE COORDINATION (OMH)-OMH",program
ADULT LITERACY - ADULT BASIC EDUCATION/HIGH SCHOOL EQUIVALENCY,program
NEON ARTS,program
VEHICLE DISMANTLING FACILITY,program
PARKWAY,facility
"ON-SITE REHABILITATION-OMH, ASSISTED COMPETITIVE EMPLOYMENT-OMH, ADVOCACY SERVICES-OMH, SUPPORTED SRO-OMH",program
SUMMER YOUTH EMPLOYMENT PROGRAM (SYEP),program
TRANSFER STATION,program
MTA BUS DEPOT,facility
JAIL,facility
CUNY - 4 YEAR COLLEGE,facility
ADOLESCENT LITERACY,program
NON-MEDICAID CARE COORDINATION (OMH)-OMH,program
PROBATION/PRETRIAL SERVICES,facility
UNGRADED SCHOOL - CHARTER,program
ZOO,program
HEALTHY FAMILIES,program
METHADONE MAINTENANCE,program
INDOOR STORAGE - EQUIPMENT,facility
METRO-NORTH YARD,facility
OFFICE LEASED BY EDUC,facility
TRIAL-LEVEL INDIGENT DEFENSE REPRESENTATION,program
2 YEAR PROPRIETARY,program
"VICTIM SERVICES, DOMESTIC VIOLENCE",program
K-12 ALL GRADES SCHOOL - PUBLIC,facility
MTA PARATRANSIT VEHICLE DEPOT,program
LOT,facility
FERRY LANDING,facility
SANITATION SECTION STATION,facility
NYCHA COMMUNITY CENTER - TA USE - LIGHTING VENDOR,facility
BUS STATION,facility
