"maprojid","geom"
"846P-1FERY12","0101000020E6100000010000F04B7552C06D6BB7F80A684440"
"846P-414RBRR","0101000020E61000000100005E1A7552C00F4F3B4A304A4440"
"827S136-332M","0101000020E610000001000037F27852C04DB14937BB6B4440"
"846P-218SEBA","0101000020E610000001000069EB7A52C059662D9D6F4B4440"
"056PO79BMUPS","0101000020E61000000100007E1C8052C035B6899C295B4440"
"841HBK244120","0101000020E6100000010000A3F97D52C0297621A642544440"
"846P-218D17S","0101000020E610000001000065587B52C086CCDEC94A4C4440"
"850CO293SP","0101000020E6100000010000A4197B52C03B1C0937C6694440"
"826NC-UPGRD","0101000020E6100000010000DF827C52C0C49611DAC15D4440"
"846P-3CTYSTG","0101000020E61000000100806E177E52C0CF1E8FF0E8624440"
"846P-400ZO16","0101000020E610000001000098667652C0A627F1D3805F4440"
"841HBBA24138","0101000020E610000001008068187452C0BA84C97FD76E4440"
"806HAM24CHBR","0101000020E610000001000044607652C0E5E0EE4ADF684440"
"846P-3RVSSCA","0101000020E6100000010080841F7E52C01D1F762F0C674440"
"846P-1PNYR07","0101000020E6100000010000931E7852C095A7318DD36B4440"
"846P-415FOTF","0103000020E6100000010000000500000001000095E27552C0234D114EAF5F44400100009ABF7552C0C36DB901C95F4440010080E0BC7552C0D4B46BD1BF5F444001008070E17552C09F7AAC60AA5F444001000095E27552C0234D114EAF5F4440"
"846P-5FRESHX","0101000020E6100000010000C49C8C52C07A837757CA474440"
"846P-3CENT01","0101000020E6100000010000260D7E52C05E4DA5F4DE624440"
"846P-1PNYC04","0101000020E6100000010000D8527752C0B0778EA2CF674440"
"801SBSRELOCA","0101000020E610000001000064AE8052C0FE342D88D95A4440"
"846P-409SOB2","0101000020E6100000010000667B7552C0B8EC49DED45A4440"
"846P-5WPPLGR","0101000020E6100000010080E3398C52C026F2EA5DFD414440"
"846P-4911MEM","0101000020E610000001000020927752C0FA296E12F0594440"
"846P-3PNYC05","0101000020E6100000010080097E7C52C07226ACEE566C4440"
"850P-415PAS3","0101000020E610000001000066027652C08B73A42A52604440"
"846P-218D17F","0101000020E61000000100004AEC7A52C0DAFFD4586F4B4440"
"846P-200LONG","0101000020E61000000100006C6C7E52C008104931AF544440"
"846P-108SKTE","0101000020E61000000000004A847952C0F3D0DD4BA2714440"
"801BNYSANIND","0101000020E6100000010000DDBE7E52C000A6D8968F594440"
"846P-206RHBS","0101000020E6100000010000FA728052C064D642DB01564440"
