NTA Code,2022 # ELA Tested - All Students,2022 # ELA Tested - Asian,2022 # ELA Tested - Black,2022 # ELA Tested - Hispanic,2022 # ELA Tested - White,2022 # ELA Tested - Multi-Racial,2022 # ELA Tested - Native American,2022 # ELA Tested - Missing Race/Ethnicity Data,2022 # ELA Proficient - All Students,2022 # ELA Proficient - Asian,2022 # ELA Proficient - Black,2022 # ELA Proficient - Hispanic,2022 # ELA Proficient - White,2022 # ELA Proficient - Multi-Racial,2022 # ELA Proficient - Native American,2022 # ELA Proficient - Missing Race/Ethnicity Data,2022 ELA % Proficient - All Students,2022 ELA % Proficient - Asian,2022 ELA % Proficient - Black,2022 ELA % Proficient - Hispanic,2022 ELA % Proficient - White,2022 ELA % Proficient - Multi-Racial,2022 ELA % Proficient - Native American,2022 ELA % Proficient - Missing Race/Ethnicity Data,2022 # Math Tested - All Students,2022 # Math Tested - Asian,2022 # Math Tested - Black,2022 # Math Tested - Hispanic,2022 # Math Tested - White,2022 # Math Tested - Multi-Racial,2022 # Math Tested - Native American,2022 # Math Tested - Missing Race/Ethnicity Data,2022 Math # Proficient - All Students,2022 Math # Proficient - Asian,2022 Math # Proficient - Black,2022 Math # Proficient - Hispanic,2022 Math # Proficient - White,2022 Math # Proficient - Multi-Racial,2022 Math # Proficient - Native American,2022 Math # Proficient - Missing Race/Ethnicity Data,2022 Math % Proficient - All Students,2022 Math % Proficient - Asian,2022 Math % Proficient - Black,2022 Math % Proficient - Hispanic,2022 Math % Proficient - White,2022 Math % Proficient - Multi-Racial,2022 Math % Proficient - Native American,2022 Math % Proficient - Missing Race/Ethnicity Data,2022 # Grad Cohort - All Students,2022 # Grad Cohort - Asian,2022 # Grad Cohort - Black,2022 # Grad Cohort - Hispanic,2022 # Grad Cohort - White,2022 # Grad Cohort - Multi-Racial,2022 # Grad Cohort - Native American,2022 # Grad Cohort - Missing Race/Ethnicity Data,2022 # Grads - All Students,2022 # Grads - Asian,2022 # Grads - Black,2022 # Grads - Hispanic,2022 # Grads - White,2022 # Grads - Multi-Racial,2022 # Grads - Native American,2022 # Grads - Missing Race/Ethnicity Data,2022 % Grads - All Students,2022 % Grads - Asian,2022 % Grads - Black,2022 % Grads - Hispanic,2022 % Grads - White,2022 % Grads - Multi-Racial,2022 % Grads - Native American,2022 % Grads - Missing Race/Ethnicity Data,2022 # Dropout - All Students,2022 # Dropout - Asian,2022 # Dropout - Black,2022 # Dropout - Hispanic,2022 # Dropout - White,2022 # Dropout - Multi-Racial,2022 # Dropout - Native American,2022 # Dropout - Missing Race/Ethnicity Data,2022 % Dropout - All Students,2022 % Dropout - Asian,2022 % Dropout - Black,2022 % Dropout - Hispanic,2022 % Dropout - White,2022 % Dropout - Multi-racial,2022 % Dropout - Native American,2022 % Dropout - Missing Race/Ethnicity Data
BK1502,1673,558,73,238,773,14,14,3,965,353,36,91,467,10,6,2,57.7,63.3,49.3,38.2,60.4,71.4,42.9,66.7,1624,543,64,231,756,13,14,3,882,355,25,60,428,5,6,3,54.3,65.4,39.1,26.0,56.6,38.5,42.9,100.0,314,98,15,27,169,4,0,1,285,95,14,21,150,4,0,1,90.8,96.9,93.3,77.8,88.8,100.0,na,100.0,4,0,0,0,4,0,0,0,1.3,0.0,0.0,0.0,2.4,0.0,na,0.0
BK1503,2675,650,321,329,1336,24,6,9,1453,402,100,125,799,17,1,9,54.3,61.8,31.2,38.0,59.8,70.8,16.7,100.0,2528,631,297,307,1255,24,5,9,1206,369,42,84,689,13,2,7,47.7,58.5,14.1,27.4,54.9,54.2,40.0,77.8,542,134,49,64,285,3,0,7,492,126,36,52,269,2,0,7,90.8,94.0,73.5,81.3,94.4,66.7,na,100.0,6,0,1,1,4,0,0,0,1.1,0.0,2.0,1.6,1.4,0.0,na,0.0
BK1601,1138,28,748,313,33,7,9,0,430,15,270,129,10,4,2,0,37.8,53.6,36.1,41.2,30.3,57.1,22.2,na,1083,26,707,307,28,7,8,0,255,13,159,71,8,3,1,0,23.5,50.0,22.5,23.1,28.6,42.9,12.5,na,287,10,193,65,7,2,6,4,250,9,169,54,6,2,6,4,87.1,90.0,87.6,83.1,85.7,100.0,100.0,100.0,8,0,5,2,1,0,0,0,2.8,0.0,2.6,3.1,14.3,0.0,0.0,0.0
BK1602,2779,27,1872,778,45,15,42,0,830,8,549,245,13,6,9,0,29.9,29.6,29.3,31.5,28.9,40.0,21.4,na,2657,27,1782,746,41,17,44,0,380,7,251,112,7,2,1,0,14.3,25.9,14.1,15.0,17.1,11.8,2.3,na,708,7,504,175,9,2,10,1,550,6,385,141,7,1,9,1,77.7,85.7,76.4,80.6,77.8,50.0,90.0,100.0,25,1,16,7,1,0,0,0,3.5,14.3,3.2,4.0,11.1,0.0,0.0,0.0
BK1701,1376,30,1050,208,47,17,22,2,603,17,450,89,27,8,11,1,43.8,56.7,42.9,42.8,57.4,47.1,50.0,50.0,1315,30,994,208,49,14,20,0,336,12,241,54,17,4,8,0,25.6,40.0,24.2,26.0,34.7,28.6,40.0,na,383,7,301,62,4,2,6,1,338,7,265,54,3,2,6,1,88.3,100.0,88.0,87.1,75.0,100.0,100.0,100.0,7,0,6,1,0,0,0,0,1.8,0.0,2.0,1.6,0.0,0.0,0.0,0.0
BK1702,952,36,785,75,29,12,10,5,409,18,327,25,19,10,6,4,43.0,50.0,41.7,33.3,65.5,83.3,60.0,80.0,890,35,730,74,27,12,9,3,247,13,189,16,17,7,3,2,27.8,37.1,25.9,21.6,63.0,58.3,33.3,66.7,322,8,276,24,9,1,1,3,278,8,243,17,5,1,1,3,86.3,100.0,88.0,70.8,55.6,100.0,100.0,100.0,6,0,4,2,0,0,0,0,1.9,0.0,1.4,8.3,0.0,0.0,0.0,0.0
BK1703,1264,27,1073,105,34,14,9,2,574,18,477,52,14,8,3,2,45.4,66.7,44.5,49.5,41.2,57.1,33.3,100.0,1205,25,1023,101,33,13,8,2,353,12,292,32,10,4,1,2,29.3,48.0,28.5,31.7,30.3,30.8,12.5,100.0,299,8,259,15,5,4,6,2,256,7,220,13,5,4,5,2,85.6,87.5,84.9,86.7,100.0,100.0,83.3,100.0,7,0,5,1,0,0,1,0,2.3,0.0,1.9,6.7,0.0,0.0,16.7,0.0
BK1704,1088,13,906,125,23,4,13,4,470,9,402,41,8,2,5,3,43.2,69.2,44.4,32.8,34.8,50.0,38.5,75.0,1061,16,876,126,24,4,12,3,301,9,250,23,12,2,3,2,28.4,56.3,28.5,18.3,50.0,50.0,25.0,66.7,302,3,258,28,5,1,3,4,256,2,220,23,4,1,2,4,84.8,66.7,85.3,82.1,80.0,100.0,66.7,100.0,4,0,3,1,0,0,0,0,1.3,0.0,1.2,3.6,0.0,0.0,0.0,0.0
BK1771,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,na,0.0,na,na,na,na,na,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,na,0.0,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na
BK1801,2175,257,1439,283,122,35,30,9,951,149,613,101,49,23,9,7,43.7,58.0,42.6,35.7,40.2,65.7,30.0,77.8,2059,252,1350,272,118,32,29,6,626,130,364,71,38,13,7,3,30.4,51.6,27.0,26.1,32.2,40.6,24.1,50.0,533,52,381,53,40,1,2,4,454,49,319,47,33,1,2,3,85.2,94.2,83.7,88.7,82.5,100.0,100.0,75.0,12,0,11,1,0,0,0,0,2.3,0.0,2.9,1.9,0.0,0.0,0.0,0.0
BK1802,1730,316,381,266,698,54,7,8,1121,222,196,153,499,41,3,7,64.8,70.3,51.4,57.5,71.5,75.9,42.9,87.5,1602,299,349,259,637,48,6,4,843,197,121,109,385,28,1,2,52.6,65.9,34.7,42.1,60.4,58.3,16.7,50.0,334,46,59,42,176,5,2,4,314,45,53,38,169,4,1,4,94.0,97.8,89.8,90.5,96.0,80.0,50.0,100.0,5,0,1,1,2,1,0,0,1.5,0.0,1.7,2.4,1.1,20.0,0.0,0.0
BK1803,2469,77,1990,234,121,16,27,4,1046,36,875,84,36,6,6,3,42.4,46.8,44.0,35.9,29.8,37.5,22.2,75.0,2319,76,1867,213,122,13,25,3,707,36,573,48,41,3,5,1,30.5,47.4,30.7,22.5,33.6,23.1,20.0,33.3,739,18,623,64,18,4,5,7,659,15,561,55,15,4,2,7,89.2,83.3,90.0,85.9,83.3,100.0,40.0,100.0,7,0,5,2,0,0,0,0,0.9,0.0,0.8,3.1,0.0,0.0,0.0,0.0
BK5591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,100.0,na,na,na,100.0,na,na,na,0,0,0,0,0,0,0,0,0.0,na,na,na,0.0,na,na,na
BK5691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,100.0,na,na,na,100.0,na,na,na,0,0,0,0,0,0,0,0,0.0,na,na,na,0.0,na,na,na
BX0101,2733,24,745,1893,43,8,20,0,872,11,250,592,13,2,4,0,31.9,45.8,33.6,31.3,30.2,25.0,20.0,na,2659,19,719,1851,44,8,18,0,463,4,99,344,10,1,5,0,17.4,21.1,13.8,18.6,22.7,12.5,27.8,na,613,5,178,413,7,0,9,1,496,5,143,335,7,0,5,1,80.9,100.0,80.3,81.1,100.0,na,55.6,100.0,32,0,10,22,0,0,0,0,5.2,0.0,5.6,5.3,0.0,na,0.0,0.0
BX0102,2059,7,543,1446,39,6,17,1,600,3,153,424,9,1,9,1,29.1,42.9,28.2,29.3,23.1,16.7,52.9,100.0,2024,7,527,1426,40,6,17,1,300,3,68,214,11,1,3,0,14.8,42.9,12.9,15.0,27.5,16.7,17.6,0.0,477,6,144,309,10,0,6,2,377,6,109,247,8,0,5,2,79.0,100.0,75.7,79.9,80.0,na,83.3,100.0,16,0,4,11,1,0,0,0,3.4,0.0,2.8,3.6,10.0,na,0.0,0.0
BX0201,607,4,143,445,9,4,2,0,113,0,21,89,3,0,0,0,18.6,0.0,14.7,20.0,33.3,0.0,0.0,na,590,4,137,434,9,4,2,0,55,1,11,42,0,1,0,0,9.3,25.0,8.0,9.7,0.0,25.0,0.0,na,124,1,29,90,0,1,2,1,93,1,22,67,0,1,1,1,75.0,100.0,75.9,74.4,na,100.0,50.0,100.0,8,0,0,7,0,0,1,0,6.5,0.0,0.0,7.8,na,0.0,50.0,0.0
BX0202,2005,18,470,1466,36,7,7,1,511,6,130,357,13,1,3,1,25.5,33.3,27.7,24.4,36.1,14.3,42.9,100.0,1918,18,440,1410,34,7,8,1,297,7,63,219,6,1,0,1,15.5,38.9,14.3,15.5,17.6,14.3,0.0,100.0,391,3,103,278,3,0,2,2,310,1,78,226,1,0,2,2,79.3,33.3,75.7,81.3,33.3,na,100.0,100.0,16,0,6,9,1,0,0,0,4.1,0.0,5.8,3.2,33.3,na,0.0,0.0
BX0301,1719,13,589,1072,23,10,12,0,471,5,162,288,8,3,5,0,27.4,38.5,27.5,26.9,34.8,30.0,41.7,na,1665,13,572,1037,22,9,12,0,269,5,72,181,8,1,2,0,16.2,38.5,12.6,17.5,36.4,11.1,16.7,na,372,0,151,208,5,1,6,1,308,0,129,169,4,1,4,1,82.8,na,85.4,81.3,80.0,100.0,66.7,100.0,17,0,7,10,0,0,0,0,4.6,na,4.6,4.8,0.0,0.0,0.0,0.0
BX0302,1216,2,528,668,11,3,4,0,344,0,159,180,4,1,0,0,28.3,0.0,30.1,26.9,36.4,33.3,0.0,na,1162,2,506,637,10,3,4,0,185,0,84,99,1,0,1,0,15.9,0.0,16.6,15.5,10.0,0.0,25.0,na,286,1,152,130,0,0,3,0,218,1,118,98,0,0,1,0,76.2,100.0,77.6,75.4,na,na,33.3,na,14,0,7,7,0,0,0,0,4.9,0.0,4.6,5.4,na,na,0.0,na
BX0303,1407,10,402,942,35,4,13,1,409,3,117,272,10,1,6,0,29.1,30.0,29.1,28.9,28.6,25.0,46.2,0.0,1359,10,388,909,34,4,13,1,231,4,56,158,9,1,3,0,17.0,40.0,14.4,17.4,26.5,25.0,23.1,0.0,293,3,100,181,4,1,3,1,253,3,84,158,3,1,3,1,86.3,100.0,84.0,87.3,75.0,100.0,100.0,100.0,8,0,4,4,0,0,0,0,2.7,0.0,4.0,2.2,0.0,0.0,0.0,0.0
BX0391,3,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,33.3,na,100.0,0.0,na,na,na,na,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,na,0.0,0.0,na,na,na,na,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,100.0,na,na,100.0,na,na,na,na,0,0,0,0,0,0,0,0,0.0,na,na,0.0,na,na,na,na
BX0401,3160,77,714,2272,66,5,25,1,1114,45,236,792,26,2,13,0,35.3,58.4,33.1,34.9,39.4,40.0,52.0,0.0,3097,76,699,2224,67,5,25,1,666,44,125,462,25,3,7,0,21.5,57.9,17.9,20.8,37.3,60.0,28.0,0.0,696,19,178,476,9,3,8,3,593,18,146,413,6,2,5,3,85.2,94.7,82.0,86.8,66.7,66.7,62.5,100.0,19,0,6,13,0,0,0,0,2.7,0.0,3.4,2.7,0.0,0.0,0.0,0.0
BX0402,1273,11,303,934,18,2,4,1,384,7,91,274,9,1,1,1,30.2,63.6,30.0,29.3,50.0,50.0,25.0,100.0,1235,11,290,909,18,2,4,1,212,6,38,160,6,1,0,1,17.2,54.5,13.1,17.6,33.3,50.0,0.0,100.0,307,2,71,226,2,0,3,3,252,2,56,187,2,0,2,3,82.1,100.0,78.9,82.7,100.0,na,66.7,100.0,16,0,5,11,0,0,0,0,5.2,0.0,7.0,4.9,0.0,na,0.0,0.0
BX0403,2356,16,453,1829,31,7,20,0,727,7,138,561,11,5,5,0,30.9,43.8,30.5,30.7,35.5,71.4,25.0,na,2308,14,447,1789,32,8,18,0,554,6,104,428,8,3,5,0,24.0,42.9,23.3,23.9,25.0,37.5,27.8,na,578,4,139,424,3,1,4,3,473,3,114,346,3,1,3,3,81.8,75.0,82.0,81.6,100.0,100.0,75.0,100.0,26,1,7,18,0,0,0,0,4.5,25.0,5.0,4.2,0.0,0.0,0.0,0.0
BX0492,10,0,3,7,0,0,0,0,5,0,0,5,0,0,0,0,50.0,na,0.0,71.4,na,na,na,na,10,0,3,7,0,0,0,0,2,0,0,2,0,0,0,0,20.0,na,0.0,28.6,na,na,na,na,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,50.0,na,0.0,100.0,na,na,na,na,0,0,0,0,0,0,0,0,0.0,na,0.0,0.0,na,na,na,na
BX0501,2801,49,713,1988,25,3,22,1,853,37,203,598,7,0,8,0,30.5,75.5,28.5,30.1,28.0,0.0,36.4,0.0,2768,50,691,1978,24,3,21,1,506,31,120,343,5,1,6,0,18.3,62.0,17.4,17.3,20.8,33.3,28.6,0.0,597,13,140,430,6,0,6,2,494,12,109,361,6,0,4,2,82.7,92.3,77.9,84.0,100.0,na,66.7,100.0,25,0,9,16,0,0,0,0,4.2,0.0,6.4,3.7,0.0,na,0.0,0.0
BX0502,2558,16,586,1934,12,3,7,0,758,6,183,562,4,1,2,0,29.6,37.5,31.2,29.1,33.3,33.3,28.6,na,2478,15,555,1886,12,3,7,0,455,4,105,343,2,0,1,0,18.4,26.7,18.9,18.2,16.7,0.0,14.3,na,494,8,128,354,1,0,3,0,422,8,111,300,1,0,2,0,85.4,100.0,86.7,84.7,100.0,na,66.7,na,16,0,3,13,0,0,0,0,3.2,0.0,2.3,3.7,0.0,na,0.0,na
BX0503,2110,19,327,1725,17,5,17,0,612,12,100,488,4,1,7,0,29.0,63.2,30.6,28.3,23.5,20.0,41.2,na,2094,19,317,1718,17,5,18,0,349,10,60,272,4,1,2,0,16.7,52.6,18.9,15.8,23.5,20.0,11.1,na,400,8,69,314,3,1,4,1,335,7,54,267,2,0,4,1,83.8,87.5,78.3,85.0,66.7,0.0,100.0,100.0,9,0,1,8,0,0,0,0,2.3,0.0,1.4,2.5,0.0,0.0,0.0,0.0
BX0601,1146,4,293,827,11,6,4,1,340,3,92,240,2,3,0,0,29.7,75.0,31.4,29.0,18.2,50.0,0.0,0.0,1119,2,279,815,12,6,3,2,167,0,35,128,3,1,0,0,14.9,0.0,12.5,15.7,25.0,16.7,0.0,0.0,212,2,44,162,1,0,3,0,169,2,33,131,1,0,2,0,79.7,100.0,75.0,80.9,100.0,na,66.7,na,10,0,2,8,0,0,0,0,4.7,0.0,4.5,4.9,0.0,na,0.0,na
BX0602,1986,16,572,1337,38,6,17,0,555,7,177,358,6,1,6,0,27.9,43.8,30.9,26.8,15.8,16.7,35.3,na,1923,15,545,1302,40,5,16,0,301,9,98,190,3,0,1,0,15.7,60.0,18.0,14.6,7.5,0.0,6.3,na,392,4,118,262,2,0,6,0,327,4,100,218,2,0,3,0,83.4,100.0,84.7,83.2,100.0,na,50.0,na,13,0,0,12,0,0,1,0,3.3,0.0,0.0,4.6,0.0,na,16.7,na
BX0603,2340,22,428,1801,67,8,14,0,629,8,101,481,32,4,3,0,26.9,36.4,23.6,26.7,47.8,50.0,21.4,na,2225,23,407,1721,56,7,11,0,248,3,37,193,11,1,3,0,11.1,13.0,9.1,11.2,19.6,14.3,27.3,na,403,3,82,301,14,0,3,0,326,3,63,249,9,0,2,0,80.9,100.0,76.8,82.7,64.3,na,66.7,na,16,0,3,13,0,0,0,0,4.0,0.0,3.7,4.3,0.0,na,0.0,na
BX0701,2413,53,222,2072,48,5,13,0,779,32,85,644,13,2,3,0,32.3,60.4,38.3,31.1,27.1,40.0,23.1,na,2406,53,212,2076,48,5,12,0,483,27,38,399,15,1,3,0,20.1,50.9,17.9,19.2,31.3,20.0,25.0,na,439,17,48,360,7,1,5,1,380,15,39,313,6,1,5,1,86.6,88.2,81.3,86.9,85.7,100.0,100.0,100.0,17,2,2,12,1,0,0,0,3.9,11.8,4.2,3.3,14.3,0.0,0.0,0.0
BX0702,2781,107,382,2159,97,13,22,1,934,68,137,663,48,7,11,0,33.6,63.6,35.9,30.7,49.5,53.8,50.0,0.0,2589,101,346,2013,95,15,19,0,518,49,79,344,32,5,9,0,20.0,48.5,22.8,17.1,33.7,33.3,47.4,na,580,38,94,421,13,4,8,2,490,37,85,345,10,4,7,2,84.5,97.4,90.4,81.9,76.9,100.0,87.5,100.0,24,0,1,23,0,0,0,0,4.1,0.0,1.1,5.5,0.0,0.0,0.0,0.0
BX0703,2539,307,224,1827,122,11,48,0,913,199,73,550,64,5,22,0,36.0,64.8,32.6,30.1,52.5,45.5,45.8,na,2383,295,204,1710,119,10,45,0,573,142,38,321,52,5,15,0,24.0,48.1,18.6,18.8,43.7,50.0,33.3,na,480,81,48,323,20,1,7,0,424,76,45,278,19,1,5,0,88.3,93.8,93.8,86.1,95.0,100.0,71.4,na,18,1,3,13,0,0,1,0,3.8,1.2,6.3,4.0,0.0,0.0,14.3,na
BX0801,1554,43,119,1311,66,9,6,0,596,29,46,475,37,7,2,0,38.4,67.4,38.7,36.2,56.1,77.8,33.3,na,1510,42,110,1280,66,7,5,0,403,23,34,306,33,6,1,0,26.7,54.8,30.9,23.9,50.0,85.7,20.0,na,297,11,26,241,14,1,1,3,259,11,19,210,14,1,1,3,87.2,100.0,73.1,87.1,100.0,100.0,100.0,100.0,8,0,1,7,0,0,0,0,2.7,0.0,3.8,2.9,0.0,0.0,0.0,0.0
BX0802,670,35,54,500,76,4,1,0,277,15,24,192,44,2,0,0,41.3,42.9,44.4,38.4,57.9,50.0,0.0,na,578,26,48,441,58,4,1,0,169,14,10,112,32,1,0,0,29.2,53.8,20.8,25.4,55.2,25.0,0.0,na,128,9,4,104,10,0,1,0,112,9,2,91,9,0,1,0,87.5,100.0,50.0,87.5,90.0,na,100.0,na,3,0,1,2,0,0,0,0,2.3,0.0,25.0,1.9,0.0,na,0.0,na
BX0803,1292,85,127,726,298,42,10,4,766,71,56,366,227,38,6,2,59.3,83.5,44.1,50.4,76.2,90.5,60.0,50.0,1106,71,108,628,250,36,9,4,573,62,32,251,194,29,4,1,51.8,87.3,29.6,40.0,77.6,80.6,44.4,25.0,257,22,36,121,66,5,3,4,239,22,31,109,65,5,3,4,93.0,100.0,86.1,90.1,98.5,100.0,100.0,100.0,2,0,0,2,0,0,0,0,0.8,0.0,0.0,1.7,0.0,0.0,0.0,0.0
BX0901,4200,230,777,3052,52,10,75,4,1171,111,198,810,18,4,29,1,27.9,48.3,25.5,26.5,34.6,40.0,38.7,25.0,4123,224,738,3026,50,10,71,4,682,82,109,458,12,2,18,1,16.5,36.6,14.8,15.1,24.0,20.0,25.4,25.0,766,51,184,498,11,1,15,6,646,48,155,416,9,1,11,6,84.3,94.1,84.2,83.5,81.8,100.0,73.3,100.0,30,0,6,23,1,0,0,0,3.9,0.0,3.3,4.6,9.1,0.0,0.0,0.0
BX0902,1681,40,398,1174,38,10,21,0,500,19,99,361,9,5,7,0,29.7,47.5,24.9,30.7,23.7,50.0,33.3,na,1605,40,375,1126,36,8,20,0,255,18,56,171,5,1,4,0,15.9,45.0,14.9,15.2,13.9,12.5,20.0,na,334,9,92,222,6,1,3,1,279,8,73,187,6,1,3,1,83.5,88.9,79.3,84.2,100.0,100.0,100.0,100.0,14,0,4,10,0,0,0,0,4.2,0.0,4.3,4.5,0.0,0.0,0.0,0.0
BX0903,2022,428,322,1137,69,9,57,0,757,276,92,334,28,3,24,0,37.4,64.5,28.6,29.4,40.6,33.3,42.1,na,1965,416,307,1109,70,9,54,0,520,233,46,201,18,3,19,0,26.5,56.0,15.0,18.1,25.7,33.3,35.2,na,367,82,67,196,11,2,6,3,312,77,54,161,9,2,6,3,85.0,93.9,80.6,82.1,81.8,100.0,100.0,100.0,14,0,2,12,0,0,0,0,3.8,0.0,3.0,6.1,0.0,0.0,0.0,0.0
BX0904,1188,450,297,378,40,5,16,2,538,283,103,130,15,2,4,1,45.3,62.9,34.7,34.4,37.5,40.0,25.0,50.0,1144,424,296,360,41,5,16,2,360,211,60,71,9,1,7,1,31.5,49.8,20.3,19.7,22.0,20.0,43.8,50.0,272,92,69,92,7,2,9,1,247,90,63,76,6,2,9,1,90.8,97.8,91.3,82.6,85.7,100.0,100.0,100.0,2,0,1,1,0,0,0,0,0.7,0.0,1.4,1.1,0.0,0.0,0.0,0.0
BX1001,1039,365,82,530,34,5,23,0,367,189,19,134,10,3,12,0,35.3,51.8,23.2,25.3,29.4,60.0,52.2,na,1032,353,86,536,35,5,17,0,275,175,4,83,6,2,5,0,26.6,49.6,4.7,15.5,17.1,40.0,29.4,na,184,51,18,102,10,0,3,0,161,44,12,94,10,0,1,0,87.5,86.3,66.7,92.2,100.0,na,33.3,na,5,1,3,1,0,0,0,0,2.7,2.0,16.7,1.0,0.0,na,0.0,na
BX1002,1833,146,229,1203,220,16,17,2,886,106,86,546,126,11,10,1,48.3,72.6,37.6,45.4,57.3,68.8,58.8,50.0,1730,137,220,1139,202,16,15,1,559,95,47,320,83,9,5,0,32.3,69.3,21.4,28.1,41.1,56.3,33.3,0.0,266,24,42,172,26,1,1,0,235,23,35,152,23,1,1,0,88.3,95.8,83.3,88.4,88.5,100.0,100.0,na,11,1,1,8,1,0,0,0,4.1,4.2,2.4,4.7,3.8,0.0,0.0,na
BX1003,1055,100,69,654,217,12,3,0,495,70,23,284,108,8,2,0,46.9,70.0,33.3,43.4,49.8,66.7,66.7,na,1019,94,66,641,204,11,3,0,349,54,15,177,96,5,2,0,34.2,57.4,22.7,27.6,47.1,45.5,66.7,na,167,23,6,101,35,1,1,0,152,23,5,90,32,1,1,0,91.0,100.0,83.3,89.1,91.4,100.0,100.0,na,2,0,0,2,0,0,0,0,1.2,0.0,0.0,2.0,0.0,0.0,0.0,na
BX1004,916,19,596,258,27,6,10,0,379,12,263,90,9,3,2,0,41.4,63.2,44.1,34.9,33.3,50.0,20.0,na,775,15,503,222,22,5,8,0,178,4,120,49,3,1,1,0,23.0,26.7,23.9,22.1,13.6,20.0,12.5,na,219,3,140,64,6,0,5,1,204,3,133,57,6,0,4,1,93.2,100.0,95.0,89.1,100.0,na,80.0,100.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,na,0.0,0.0
BX1101,1657,173,160,1038,257,12,17,0,617,78,64,354,106,5,10,0,37.2,45.1,40.0,34.1,41.2,41.7,58.8,na,1601,169,149,1001,253,12,17,0,485,74,41,256,100,6,8,0,30.3,43.8,27.5,25.6,39.5,50.0,47.1,na,300,25,35,196,39,2,3,0,261,21,33,172,33,1,1,0,87.0,84.0,94.3,87.8,84.6,50.0,33.3,na,5,1,1,2,1,0,0,0,1.7,4.0,2.9,1.0,2.6,0.0,0.0,na
BX1102,906,147,50,394,298,10,7,0,442,101,19,166,144,8,4,0,48.8,68.7,38.0,42.1,48.3,80.0,57.1,na,862,140,49,375,280,11,7,0,398,92,19,133,141,9,4,0,46.2,65.7,38.8,35.5,50.4,81.8,57.1,na,140,35,9,56,38,0,1,1,131,33,9,51,37,0,0,1,93.6,94.3,100.0,91.1,97.4,na,0.0,100.0,3,2,0,1,0,0,0,0,2.1,5.7,0.0,1.8,0.0,na,0.0,0.0
BX1103,945,162,292,364,110,10,7,0,392,101,99,131,54,4,3,0,41.5,62.3,33.9,36.0,49.1,40.0,42.9,na,901,145,276,356,108,9,7,0,270,79,52,89,44,2,4,0,30.0,54.5,18.8,25.0,40.7,22.2,57.1,na,213,27,80,79,21,2,3,1,192,26,72,69,20,1,3,1,90.1,96.3,90.0,87.3,95.2,50.0,100.0,100.0,3,0,2,0,1,0,0,0,1.4,0.0,2.5,0.0,4.8,0.0,0.0,0.0
BX1104,1674,107,376,996,174,9,11,1,632,45,137,362,81,4,3,0,37.8,42.1,36.4,36.3,46.6,44.4,27.3,0.0,1539,100,332,928,159,8,11,1,427,39,66,253,61,5,3,0,27.7,39.0,19.9,27.3,38.4,62.5,27.3,0.0,323,15,82,177,44,0,4,1,280,14,72,149,40,0,4,1,86.7,93.3,87.8,84.2,90.9,na,100.0,100.0,11,0,2,9,0,0,0,0,3.4,0.0,2.4,5.1,0.0,na,0.0,0.0
BX1161,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,na,na,0.0,na,na,na,na,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,na,na,0.0,na,na,na,na,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na,0,0,0,0,0,0,0,0,na,na,na,na,na,na,na,na
BX1201,2513,70,1287,1058,56,12,28,2,737,24,397,286,16,6,6,2,29.3,34.3,30.8,27.0,28.6,50.0,21.4,100.0,2284,69,1140,981,53,11,28,2,376,23,188,145,10,1,7,2,16.5,33.3,16.5,14.8,18.9,9.1,25.0,100.0,549,15,292,219,7,2,13,1,463,14,254,175,6,2,11,1,84.3,93.3,87.0,79.9,85.7,100.0,84.6,100.0,23,0,9,12,1,0,1,0,4.2,0.0,3.1,5.5,14.3,0.0,7.7,0.0
