WKT,OBJECTID,unique_id,editor,layer,path
"POINT Z (-73.8312717500756 40.7139980873751 0)","15","3341",,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_AMD.gdb/|layername=cbbr_locations_point
"POINT Z (-73.8858846390089 40.8672689354785 0)","16","315",,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_AMD.gdb/|layername=cbbr_locations_point
"POINT Z (-73.7284821587723 40.7524416520861 0)","1","3439",,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JasonBlack.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9087265503812 40.6775766589252 0)","2","1666",,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JasonBlack.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9228835301998 40.6649718344283 0)","3","1655",,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JasonBlack.gdb/|layername=cbbr_locations_point
"POINT Z (-74.0134419714633 40.7073670519967 0)","1","1891",Jonathan Rivas,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JRivas.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9909446105781 40.7380353241707 0)","2","2169",Jonathan Rivas,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JRivas.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9955548122678 40.7366446426021 0)","3","1913",Jonathan Rivas,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JRivas.gdb/|layername=cbbr_locations_point
"POINT Z (-74.0137492826096 40.7181697609588 0)","4","1831",Jonathan Rivas,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JRivas.gdb/|layername=cbbr_locations_point
"POINT Z (-74.0150194267559 40.7098609993866 0)","5","1851",Jonathan Rivas,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JRivas.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9853937682802 40.7390245823167 0)","6","2147",Jonathan Rivas,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JRivas.gdb/|layername=cbbr_locations_point
"POINT Z (-73.99130613357 40.7659921840837 0)","7","2018",Jonathan Rivas,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JRivas.gdb/|layername=cbbr_locations_point
"POINT Z (-74.0030613260246 40.7487928495924 0)","8","2018",Jonathan Rivas,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JRivas.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9731940267584 40.7302485369853 0)","9","2234",Jonathan Rivas,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JRivas.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9743512279683 40.7344957783692 0)","10","2229",Jonathan Rivas,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JRivas.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9851319650249 40.7142677514992 0)","11","2002",Jonathan Rivas,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_JRivas.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9808098066477 40.7104349687977 0)","1","1967",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9243746306269 40.8116270218998 0)","2","35",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9395608335034 40.8407185569614 0)","4","2632",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9266251591523 40.8558004547236 0)","6","2700",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.8708363065079 40.7578743566159 0)","7","2963",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.969761316609 40.6617508028308 0)","8","480",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9701291618259 40.673943182154 0)","9","480",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.8508311862998 40.8325646840933 0)","11","510",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.8693437617681 40.8230243963425 0)","12","510",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9499054971144 40.6751057650032 0)","14","1107",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9502603278034 40.6734832390344 0)","15","1107",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9511576918797 40.8135043154348 0)","16","2439",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9488420373381 40.8157754723754 0)","17","2439",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9466103807831 40.8205501828983 0)","18","2439",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9599156870204 40.8046394341805 0)","19","2439",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9448898243709 40.8340405516651 0)","20","2588",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9401328328929 40.8405555576218 0)","21","2588",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9335958418163 40.8495045661129 0)","23","2588",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9294118478811 40.8552245702271 0)","24","2588",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9255358522288 40.8605305750418 0)","25","2588",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9188188639322 40.8646135715131 0)","26","2588",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9152788678022 40.8694435758043 0)","27","2588",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9398918337308 40.8360125483396 0)","28","2588",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9395608335034 40.8407185569614 0)","29","2588",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9379688334211 40.8516945761325 0)","30","2588",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9341798381845 40.8590215848318 0)","31","2588",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9272708483947 40.8654905867017 0)","32","2588",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
"POINT Z (-73.9198988605731 40.8680715801595 0)","33","2588",Casey Smith,cbbr_locations_point,/Users/max/Desktop/cbbr_geom_corrections/cbbr_geocoding_casey.gdb/|layername=cbbr_locations_point
